"number","title","pageid","namespace","length","touched"
"1","Alabama","303","","227032","20230620202056"
"2","Algeria","358","","182321","20230702123434"
"3","Andorra","600","","134772","20230628090540"
"4","Alaska","624","","186821","20230629204836"
"5","Asia","689","","123669","20230702114512"
"6","Aruba","690","","78520","20230614181944"
"7","Atlantic_Ocean","698","","116710","20230621153802"
"8","Angola","701","","155227","20230622200812"
"9","Alberta","717","","165989","20230629161348"
"10","Afghanistan","737","","317540","20230701002254"
"11","Albania","738","","266042","20230702233313"
"12","Azerbaijan","746","","242627","20230630105630"
"13","Arabic","803","","184765","20230627235544"
"14","Altaic_languages","824","","67478","20230628154041"
"15","Aegean_Sea","842","","47200","20230702132441"
"16","Anatolia","854","","76118","20230630103659"
"17","Ancient_Egypt","874","","150147","20230602054633"
"18","Archipelago","911","","7386","20230612155048"
"19","Antigua_and_Barbuda","951","","83858","20230627083129"
"20","Alps","981","","102126","20230625141952"
"21","André_Gide","1058","","33110","20230628053918"
"22","Anguilla","1217","","63953","20230701145407"
"23","Ashmore_and_Cartier_Islands","1227","","19875","20230604120234"
"24","Andes","1354","","56009","20230629135335"
"25","Anazarbus","1360","","17805","20230503120100"
"26","Abydos_(Hellespont)","1441","","33736","20230628054634"
"27","Ainu_people","1530","","168686","20230703142948"
"28","Amaranth","1542","","50454","20230703123526"
"29","Akkadian_Empire","1566","","94216","20230629180800"
"30","Aberdeen","1627","","149227","20230630012004"
"31","Almoravid_dynasty","1649","","109082","20230701123703"
"32","Amazon_River","1701","","107769","20230625175028"
"33","Ammon","1722","","29438","20230618011058"
"34","Amyntas_I_of_Macedon","1729","","13692","20230529132311"
"35","Andaman_Islands","1750","","52888","20230615110535"
"36","Arkansas","1930","","154442","20230624012034"
"37","Auschwitz_concentration_camp","2006","","189494","20230621152131"
"38","Antarctic_Circumpolar_Current","2015","","24251","20230603050415"
"39","Achaeans_(Homer)","2020","","19108","20230614160327"
"40","Assyria","2085","","143326","20230702192400"
"41","Asterix","2101","","69706","20230617230456"
"42","Angles_(tribe)","2136","","19290","20230703183011"
"43","Arabs","2185","","332152","20230703190609"
"44","Antisemitism_in_the_Arab_world","2187","","58096","20230703001404"
"45","Armenian_language","2217","","112936","20230628215502"
"46","Ayahuasca","2328","","71811","20230630141109"
"47","Athanasian_Creed","2416","","29203","20230601084558"
"48","Aargau","2467","","54677","20230419002644"
"49","Aswan","2514","","31054","20230703190627"
"50","Aedui","2622","","13444","20230110214949"
"51","Ajmer-Merwara","2646","","12126","20230419155550"
"52","Afghan_Turkestan","2667","","5818","20230608030307"
"53","Afyonkarahisar","2668","","42880","20230522080930"
"54","Aberfoyle,_Stirling","2714","","12271","20230513155041"
"55","Andalusia","2736","","223952","20230630230053"
"56","Abhorrers","2739","","1960","20200903024013"
"57","Arabian_Sea","2747","","24484","20230629175838"
"58","Azawakh","2836","","10256","20230209094519"
"59","Latin_American_Integration_Association","2856","","13671","20230608182820"
"60","Antarctic","2926","","21593","20230703232509"
"61","Albanians","2927","","235129","20230630153906"
"62","Southeast_Alaska","2936","","22713","20230618200924"
"63","Austria-Hungary","2983","","249701","20230630170500"
"64","Acts_of_Union_1707","2987","","95302","20230614201339"
"65","Muslim_conquests_of_Afghanistan","3068","","173309","20230428192220"
"66","Durrani_Empire","3070","","46701","20230612224531"
"67","Alexandria","3080","","105865","20230624160831"
"68","Alexandria_Troas","3085","","10065","20230421165012"
"69","Arianespace","3112","","31751","20230107110903"
"70","Mexican_tetra","3209","","24526","20230421211510"
"71","Azores","3226","","99438","20230625200116"
"72","Baltic_Sea","3335","","105392","20230627200119"
"73","Brackish_water","3336","","13363","20230422192733"
"74","Belgium","3343","","202661","20230628182852"
"75","Brazil","3383","","256381","20230703150138"
"76","Black_Forest","3385","","92114","20230625141724"
"77","Black_Sea","3386","","117077","20230630103711"
"78","British_Columbia","3392","","202121","20230702161217"
"79","Bulgaria","3415","","209421","20230702092248"
"80","Bursa","3450","","43933","20230630131708"
"81","The_Bahamas","3451","","140817","20230627235516"
"82","Baker_Island","3453","","23173","20230625182439"
"83","Bangladesh","3454","","303171","20230701164727"
"84","Barbados","3455","","127329","20230702135812"
"85","Belize","3458","","135598","20230703154952"
"86","Benin","3459","","113645","20230628090951"
"87","Bermuda","3460","","199810","20230702115349"
"88","Bolivia","3462","","167707","20230627015553"
"89","Bosnia_and_Herzegovina","3463","","214744","20230615165856"
"90","Botswana","3464","","138738","20230626192038"
"91","Brunei","3466","","121819","20230629195407"
"92","British_Virgin_Islands","3469","","74885","20230630190141"
"93","Burkina_Faso","3470","","152595","20230627122757"
"94","Lhop_people","3589","","1872","20220411192225"
"95","Transport_in_the_British_Virgin_Islands","3654","","991","20201018054224"
"96","Brussels","3708","","250915","20230620211646"
"97","British_Isles","3736","","87760","20230614224913"
"98","Basque_language","3738","","105442","20230701174912"
"99","Bavaria","3764","","99552","20230701223615"
"100","Brandenburg","3765","","42962","20230628055550"
"101","Bumin_Qaghan","3826","","11560","20230608065740"
"102","Buffalo,_New_York","3985","","235822","20230703153055"
"103","Bigfoot","4009","","136968","20230630030910"
"104","Branco_River","4132","","15261","20230310153236"
"105","Bali","4147","","105061","20230629070642"
"106","Bertrand_Russell","4163","","152451","20230701213047"
"107","Benelux","4170","","55846","20230628183057"
"108","Beltane","4306","","47797","20230622091822"
"109","Buffalo_Bills","4315","","96413","20230614200048"
"110","Boii","4327","","19994","20230407123434"
"111","Bohemia","4345","","41291","20230612010105"
"112","Book_of_Ruth","4381","","19833","20230607221616"
"113","Black_Death","4501","","130655","20230622091827"
"114","Borneo","4518","","105486","20230630195740"
"115","Battle_of_Jutland","4563","","155536","20230629112042"
"116","Breton_language","4647","","89237","20230627232334"
"117","Basques","4660","","89996","20230628225303"
"118","Balochistan,_Pakistan","4687","","76658","20230621163046"
"119","Berber_languages","4693","","94947","20230701075849"
"120","British_Empire","4721","","153299","20230625110503"
"121","Bakassi","4756","","19692","20230621002526"
"122","Biome","4802","","49059","20230703121558"
"123","Biosphere","4816","","31286","20230628090336"
"124","Balkans","4829","","108430","20230619075451"
"125","Bermuda_Triangle","4854","","52306","20230610164550"
"126","Bodmin_Moor","4859","","19975","20230308234410"
"127","Bengal","4862","","142297","20230630152057"
"128","Bundaberg_Rum","4916","","26653","20230415054850"
"129","Brezhnev_Doctrine","4988","","31778","20230629201259"
"130","Barbagia","4995","","4537","20230125151351"
"131","Burns_supper","5049","","18394","20230611202933"
"132","Central_Europe","5188","","113667","20230702213857"
"133","Christianity","5211","","297911","20230628194341"
"134","Colombia","5222","","266395","20230703235606"
"135","Coast","5236","","40451","20230614012604"
"136","Czech_Republic","5321","","179396","20230702235848"
"137","Czechoslovakia","5322","","61464","20230624014135"
"138","History_of_Chad","5329","","48294","20230622153503"
"139","Colorado","5399","","216246","20230703152047"
"140","Comoros","5403","","95366","20230629175441"
"141","China","5405","","351311","20230703233957"
"142","California","5407","","273144","20230703211039"
"143","Capitalism","5416","","139304","20230702045656"
"144","Cameroon","5447","","114493","20230626210042"
"145","History_of_Cameroon","5448","","46186","20230703033642"
"146","Cayman_Islands","5468","","109951","20230630190215"
"147","Transport_in_the_Cayman_Islands","5475","","4545","20220820185732"
"148","Central_African_Republic","5478","","116842","20230626205911"
"149","History_of_the_Central_African_Republic","5479","","53314","20230625170853"
"150","Chad","5488","","111795","20230626210737"
"151","Chile","5489","","189263","20230626225517"
"152","Christmas_Island","5500","","99859","20230701191351"
"153","Clipperton_Island","5510","","148571","20230701032046"
"154","Cocos_(Keeling)_Islands","5520","","80118","20230624231458"
"155","Coral_Sea_Islands","5541","","21196","20230629074425"
"156","Costa_Rica","5551","","114630","20230626193843"
"157","Croatia","5573","","227138","20230627014501"
"158","Cyprus","5593","","215099","20230630105645"
"159","Geography_of_Cyprus","5595","","16151","20230619054956"
"160","Demographics_of_Cyprus","5596","","62029","20230622234631"
"161","Politics_of_Cyprus","5597","","24286","20230601073515"
"162","Economy_of_Cyprus","5598","","49999","20230630125006"
"163","Canal","5623","","58897","20230528095135"
"164","Christopher_Columbus","5635","","188720","20230628153554"
"165","Cyrillic_script","5639","","87502","20230701214234"
"166","Channel_Islands","5643","","61814","20230615054941"
"167","Constantinople","5646","","96372","20230703154907"
"168","Cornwall","5648","","141443","20230703065155"
"169","Christian_Social_Union_in_Bavaria","5679","","30577","20230702155931"
"170","Channel_Tunnel","5702","","154006","20230703202757"
"171","Chicano","5716","","210138","20230422135422"
"172","Canary_Islands","5717","","176245","20230628193740"
"173","Çatalhöyük","5765","","32449","20230614215339"
"174","Cave","5778","","31105","20230611160853"
"175","County_Fermanagh","5833","","28482","20230703163155"
"176","Economy_of_Colombia","5839","","81282","20230530041825"
"177","Telecommunications_in_the_Czech_Republic","5850","","1193","20191204080557"
"178","Customs_union","5864","","24821","20230601002559"
"179","Continental_Europe","5867","","12576","20230702220100"
"180","Telecommunications_in_the_Comoros","6005","","2254","20230225221943"
"181","Transport_in_the_Comoros","6006","","3123","20220921120006"
"182","Army_of_National_Development","6008","","5300","20230621050952"
"183","Chechnya","6095","","96522","20230703095550"
"184","Central_America","6121","","100092","20230627040819"
"185","Cornish_language","6130","","128307","20230618164122"
"186","Chinese_Islamic_cuisine","6181","","20947","20230619123614"
"187","Convention_on_Fishing_and_Conservation_of_the_Living_Resources_of_the_High_Seas","6199","","6603","20230301132134"
"188","Canadian_Shield","6230","","21086","20230314215335"
"189","Cairo","6293","","162678","20230701204955"
"190","Cayuga_Lake","6309","","17234","20230325140214"
"191","Ceuta","6443","","78937","20230630044240"
"192","Connecticut","6466","","201699","20230630050053"
"193","County_Dublin","6514","","178491","20230703033328"
"194","Cimbri","6571","","31859","20230702104909"
"195","Crete","6591","","106081","20230703121036"
"196","Curry","6597","","39113","20230628015228"
"197","Chaldea","6599","","43994","20230602073600"
"198","Christendom","6704","","85046","20230508210107"
"199","Coyote","6710","","153804","20230702232902"
"200","Central_Asia","6742","","142319","20230702040142"
"201","Couscous","6745","","32979","20230613211902"
"202","Catalonia","6822","","230947","20230630210411"
"203","City_of_London","6883","","128451","20230629223718"
"204","Cotswolds","6902","","62135","20230703213709"
"205","Council_of_Chalcedon","6962","","66609","20230531091400"
"206","Chagas_disease","7012","","67341","20230628095200"
"207","Confederate_States_of_America","7023","","313202","20230703233412"
"208","Cook_Islands","7067","","60940","20230611052954"
"209","History_of_the_Cook_Islands","7068","","21444","20230428012657"
"210","Geography_of_the_Cook_Islands","7069","","8286","20221227081647"
"211","Demographics_of_the_Cook_Islands","7070","","15714","20230702161645"
"212","Politics_of_the_Cook_Islands","7071","","11033","20230505161012"
"213","Economy_of_the_Cook_Islands","7072","","9276","20221202015823"
"214","Commonwealth_of_England","7129","","29822","20230621224118"
"215","Cairn","7196","","21191","20230702211041"
"216","Choctaw","7222","","32759","20230625155235"
"217","Cholistan_Desert","7232","","23507","20230411210511"
"218","Cemetery_H_culture","7247","","10452","20230617135239"
"219","The_Maritimes","7382","","56870","20230626150451"
"220","Cyril_of_Jerusalem","7387","","27743","20230415163848"
"221","Chaparral","7455","","37281","20230628195456"
"222","Contras","7548","","76937","20230630202539"
"223","Cholera","7591","","126241","20230702055529"
"224","Caldera","7592","","42318","20230622202552"
"225","Code_of_Hammurabi","7604","","100737","20230630214200"
"226","Central_Pacific_Railroad","7734","","49446","20230616203259"
"227","Cluny","7755","","2337","20230508085924"
"228","Crete_Senesi","7768","","3729","20220204052335"
"229","Costa_Smeralda","7780","","4047","20220821074901"
