"number","title","pageid","namespace","length","touched"
"1","Lập_trình_viên","1253","","6975","20230727172559"
"2","Kế_toán","1675","","44162","20230622152927"
"3","Tổng_sản_lượng_quốc_gia","2077","","5313","20220505093608"
"4","Lạm_phát","2248","","94866","20230526192420"
"5","Sức_mua_tương_đương","3015","","11621","20221102113424"
"6","Tổ_chức_Thương_mại_Thế_giới","3116","","44358","20230508085551"
"7","Khu_công_nghiệp","4716","","1388","20210806124952"
"8","Hiệp_ước_chung_về_thuế_quan_và_mậu_dịch","4801","","10575","20230606160101"
"9","Xây_dựng","5631","","6650","20230708074258"
"10","Giao_thương","7788","","4996","20221115134652"
"11","Bảo_hộ_mậu_dịch","8313","","8972","20230105023658"
"12","Hồ_sơ_ứng_tuyển","8396","","7430","20230321094706"
"13","Mại_dâm","9060","","198159","20230627123217"
"14","Phương_thức_sản_xuất","9440","","13284","20230703044119"
"15","NNP","9515","","1388","20221108001341"
"16","NNI","9517","","1270","20221108001313"
"17","Trọng_lượng","10436","","7340","20211024113456"
"18","Trí_khôn_của_đám_đông","10876","","1384","20200329161346"
"19","Tiền","12651","","36861","20230708103756"
"20","Thu_nhập_bình_quân_đầu_người","13109","","9173","20230511115104"
"21","Cảnh_sát","14165","","17094","20230615072238"
"22","Kinh_tế_học","15964","","41643","20230620232914"
"23","Kinh_tế_chính_trị","15997","","12208","20230616044934"
"24","Giải_Nobel_Kinh_tế","16242","","9772","20230611071146"
"25","Nông_nghiệp","16243","","41847","20230707033505"
"26","Thương_mại_điện_tử","16317","","40465","20230315053316"
"27","Tổng_thầu_xây_dựng","16648","","3220","20210527024043"
"28","Khảo_sát_xây_dựng","16900","","5140","20230115174511"
"29","Hệ_thống_hài_hòa_(hải_quan)","17042","","3295","20220723083246"
"30","Đô_la_Úc","21933","","11933","20220621190158"
"31","Chủ_nghĩa_tư_bản","26002","","174236","20230606175234"
"32","Quản_lý","26294","","15031","20211102162555"
"33","Diễn_viên","27657","","3587","20221026133608"
"34","Khu_vực_Mậu_dịch_Tự_do_ASEAN","29881","","7231","20220815103913"
"35","Phát_triển_kinh_tế","30131","","10055","20221115051828"
"36","Lý_thuyết_trò_chơi","31471","","58069","20230625045508"
"37","Giảng_viên","33025","","4438","20221230014009"
"38","David_Hume","33990","","45752","20230505141905"
"39","Tỷ_phú","35907","","7599","20230717170030"
"40","Nhân_quyền","36048","","64033","20230726031755"
"41","Hiệu_quả_Pareto","37437","","23639","20221114082703"
"42","Rial_Iran","39802","","2234","20211012175307"
"43","Phong_kiến_(châu_Âu)","41275","","8200","20230421074530"
"44","Tài_tử","41439","","1789","20211210093758"
"45","Mô_hình_Solow–Swan","42781","","25004","20230410080656"
"46","Đình_công","42791","","1889","20230123011712"
"47","Nhóm_Ngân_hàng_Thế_giới","44003","","10176","20230629044517"
"48","Dự_án","44365","","2208","20230702153007"
"49","Cầm_đồ","44550","","1431","20220222140225"
"50","Tiền_dưỡng_liêm","44956","","7691","20230317024115"
"51","Chủ_nghĩa_xã_hội","48293","","69007","20230515131657"
"52","Tư_vấn_xây_dựng","48388","","5117","20230403071441"
"53","Khủng_hoảng_tài_chính_châu_Á_1997","50105","","32075","20230612154645"
"54","Xác_định_giá_trị_doanh_nghiệp","51671","","10641","20210911084029"
"55","Kinh_tế_học_vi_mô","52154","","9165","20230504072147"
"56","Bàng_quan_(kinh_tế_học)","52226","","2653","20221102115253"
"57","Chế_ước_ngân_sách","52629","","908","20210416093116"
"58","Thỏa_dụng","52631","","1344","20230312082022"
"59","Lựa_chọn_tối_ưu","52730","","622","20160913154601"
"60","Bổ_đề_Shephard","52853","","1486","20150928080734"
"61","Hằng_đẳng_thức_Roy","52891","","987","20230718030827"
"62","Lâm_nghiệp","54291","","6128","20230612102239"
"63","Giải_pháp_góc_(kinh_tế_học)","54906","","1796","20220713014058"
"64","Trường_phái_kinh_tế_học_vĩ_mô_tổng_hợp","55008","","3336","20200804171415"
"65","Chế_độ_tỷ_giá_hối_đoái","55286","","8172","20230515094313"
"66","Ringgit","55299","","7453","20220508202947"
"67","Quản_lý_xây_dựng","55622","","5144","20221229232952"
"68","Chủ_nghĩa_tiền_tệ","56019","","7025","20230414102131"
"69","Đường_cong_Laffer","56252","","41216","20230604051353"
"70","Đường_IS","56458","","5336","20221025194634"
"71","Công_đoàn","56469","","20969","20230331031355"
"72","Đường_LM","56584","","4939","20221025194520"
"73","Đường_cong_Phillips","56844","","58113","20230215161417"
"74","Hỗ_trợ_Phát_triển_Chính_thức","57058","","6520","20211010165540"
"75","Đình_lạm","57108","","3812","20221102114107"
"76","Đình_trệ_kinh_tế","57112","","1791","20220113072818"
"77","Tổng_cung","57915","","14571","20230504004511"
"78","Tổng_cầu","57916","","18899","20230504005505"
"79","Tiền_vỏ_ốc","58057","","4924","20230526042937"
"80","Tăng_trưởng_kinh_tế","58077","","17065","20221126074740"
"81","Bài_toán_vận_tải","59305","","11376","20220501060101"
"82","Đầu_tư_gián_tiếp_nước_ngoài","60762","","2110","20221108001010"
"83","Chi_phí","61572","","5821","20230311011506"
"84","Chi_phí_biên","61628","","1361","20221102115343"
"85","Kinh_tế_sức_chú_ý","62185","","27497","20230612000049"
"86","Báo_cáo_cạnh_tranh_toàn_cầu","62243","","7366","20220918025357"
"87","Tiểu_vùng_Sông_Mekong_Mở_rộng","62464","","2212","20230702101352"
"88","Thương_mại_tự_do","62812","","2228","20190729052901"
"89","Kinh_doanh_đa_cấp","63246","","38437","20230226134233"
"90","Sơ_đồ_DD-AA","63444","","8748","20221024233355"
"91","Kinh_tế_mở","63747","","1215","20210226150305"
"92","Kinh_tế_thị_trường","63784","","14044","20221220220012"
"93","Kinh_tế","64004","","39430","20230613122234"
"94","Đường_cong_J_(kinh_tế)","64598","","2208","20211112124758"
"95","Quân_sư","65218","","790","20230319073553"
"96","Danh_sách_công_ty_trên_sàn_giao_dịch_chứng_khoán_Việt_Nam","66053","","109946","20230608142054"
"97","Thuế_tài_sản","66893","","3307","20201022080548"
"98","Chế_độ_quyền_lực_tập_trung","66977","","3771","20230127192716"
"99","Quan_hệ_Thương_mại_Bình_thường_Vĩnh_viễn","67560","","4858","20220119011637"
"100","Luật_sư","68599","","7292","20230514112402"
"101","Hàng_hóa","68616","","4212","20230726023753"
"102","Tam_giác_phát_triển_Việt_Nam_-_Lào_-_Campuchia","69027","","6134","20200309092244"
"103","Ngân_hàng_Thế_giới","69362","","14893","20230429131641"
"104","Ngân_hàng_Thanh_toán_Quốc_tế","69646","","4207","20211211143641"
"105","Ấm_lên_toàn_cầu","70046","","292685","20230714144748"
"106","Quản_trị_học","70164","","1381","20211005160729"
"107","Kiến_trúc_sư","71627","","24180","20230704151759"
"108","Các_nền_kinh_tế_đang_nổi_lên","71644","","23988","20230607141357"
"109","Các_quốc_gia_có_thu_nhập_thấp","72512","","1674","20210718101241"
"110","Các_quốc_gia_có_thu_nhập_trung_bình_thấp","72514","","871","20171112102357"
"111","Các_quốc_gia_có_thu_nhập_trung_bình_cao","72517","","1241","20230301212535"
