"number","title","pageid","namespace","length","touched"
"1","Kế_toán","1675","","44162","20230622152927"
"2","Hoạch_định_tài_nguyên_doanh_nghiệp","2436","","6731","20230509161624"
"3","Y_học","4155","","21132","20230226120115"
"4","Xô_viết","5804","","6884","20220504131756"
"5","Đạo_văn","7245","","4113","20220128015220"
"6","Tư_duy_sáng_tạo","7676","","22349","20230716091947"
"7","Thư_rác_(điện_tử)","7780","","16764","20230315042841"
"8","Giao_thương","7788","","4996","20221115134652"
"9","Thư_rác","8325","","2388","20220804225018"
"10","Thu_thập_ngẫu_nhiên","8378","","7262","20210704224419"
"11","Tẩu_pháp","9676","","13580","20220416121315"
"12","DOIT","10638","","9583","20220104083621"
"13","TRIZ","14629","","3410","20230309055503"
"14","Trường_Đại_học_An_Giang,_Đại_học_Quốc_gia_Thành_phố_Hồ_Chí_Minh","15013","","17871","20230705082337"
"15","Trường_Đại_học_Mỹ_thuật_Thành_phố_Hồ_Chí_Minh","15624","","15799","20220825082857"
"16","Trường_Đại_học_Tổng_hợp_Hà_Nội","15767","","6513","20230502033332"
"17","Sách_giáo_khoa","16201","","3115","20230411142718"
"18","Giáo_dục","16203","","43588","20230726121438"
"19","Mục_tiêu_giáo_dục","16204","","3015","20180109062459"
"20","Nghiên_cứu","16307","","35186","20230110165820"
"21","Thương_mại_điện_tử","16317","","40465","20230315053316"
"22","Bản_đồ_tư_duy","16363","","13192","20230330062822"
"23","Dự_án_đầu_tư_xây_dựng","16647","","2497","20210814100921"
"24","Ngày_Nhà_giáo_Việt_Nam","17043","","6283","20230104091330"
"25","Vắc-xin","22169","","140568","20230706030522"
"26","Lập_luận_theo_tình_huống","24439","","6600","20230119031926"
"27","Tri_thức","24978","","35579","20230202155319"
"28","Đại_học_Tổng_hợp_Mannheim","26065","","2733","20230418182134"
"29","Đại_học_British_Columbia","26224","","7089","20221007110236"
"30","Quản_lý","26294","","15031","20211102162555"
"31","Hội_Địa_lý_Quốc_gia_(Hoa_Kỳ)","27641","","3774","20221005083638"
"32","KSEG","29406","","1748","20211219111711"
"33","Moodle","29811","","3883","20221203073559"
"34","Quản_trị_tiếp_thị","30134","","17220","20210824130316"
"35","Trường_Đại_học_Xây_dựng_Hà_Nội","30402","","8672","20230705073350"
"36","ILIAS","30675","","2083","20210616072111"
"37","Đồ_án_tốt_nghiệp","32844","","11817","20230501124133"
"38","Giảng_viên","33025","","4438","20221230014009"
"39","Nhân_quyền","36048","","64033","20230726031755"
"40","Chăm_sóc_trẻ_em","37805","","5587","20230428090550"
"41","Pháp_gia","37851","","22867","20230428060539"
"42","Luật_pháp","39839","","65815","20230414043530"
"43","Đại_học_Giao_thông_Đường_bộ_Moskva","40681","","8225","20230713213252"
"44","Tù_nhân","41191","","766","20230205180521"
"45","Jurispedia","47201","","1146","20210827130956"
"46","Thuê_ngoài","47240","","31040","20230706172609"
"47","Giáo_sư","47457","","12161","20230215193821"
"48","Đại_học_Victoria","47819","","1597","20220809095709"
"49","Đại_học_California_tại_Los_Angeles","50541","","4060","20210814070947"
"50","Đại_học_Huế","51236","","19627","20230726120240"
"51","Xác_định_giá_trị_doanh_nghiệp","51671","","10641","20210911084029"
"52","Tư_duy_phản_biện","51721","","11246","20230701010833"
"53","Chung_thân","52727","","5617","20220611205307"
"54","Luận_cứ","53496","","12592","20220111130943"
"55","Kỹ_sư_xây_dựng","54258","","2668","20221205075426"
"56","Edubuntu","55065","","705","20150813061509"
"57","Quản_lý_xây_dựng","55622","","5144","20221229232952"
"58","Quân_luật","57203","","2400","20160217133542"
"59","Trường_Đại_học_Văn_Lang","57534","","4715","20230720091856"
"60","Trường_Đại_học_Lâm_nghiệp","57761","","11884","20230612021828"
"61","Trung_học_cơ_sở_(Việt_Nam)","58300","","3108","20230719082315"
"62","Bệnh_viện","59704","","18719","20230601140400"
"63","Chứng_khó_đọc","60010","","15826","20230106192758"
"64","Biết_chữ","60866","","20438","20230713162250"
"65","Sư_phạm_phê_phán","62750","","17754","20220117120426"
