"number","title","pageid","namespace","length","touched"
"1","Absolut_Vodka","2443509","","1397","20220103004742"
"2","Kim_chi","66901","","23477","20230726123040"
"3","Polygonum_cognatum","2391967","","1583","20230409173521"
"4","Thực_phẩm_thiết_yếu","826574","","7049","20220804224646"
"5","Rình_mồi","3193140","","22404","20230101170552"
"6","Doenjang","490772","","1005","20211118125305"
"7","Natri_metabisulfit","808347","","7616","20220708115539"
"8","Moi_ruột","19549790","","11480","20220101070011"
"9","Bagnet","19813682","","5848","20230717022338"
"10","Nacho","3659791","","7392","20220202022156"
"11","Perovskia_atriplicifolia","1828460","","2242","20230412205521"
"12","Mont_lone_yay_baw","19656522","","3421","20230121075050"
"13","Các_hóa_chất_thực_vật_trong_thực_phẩm","2361781","","19669","20230409121852"
"14","Rau_câu","1288308","","7009","20230526043812"
"15","Văn_hóa_ẩm_thực","13510212","","3464","20230516113035"
"16","Xa_lát_kiểu_Nice","3186803","","2850","20230105152356"
"17","Ngộ_độc_protein","15334002","","10688","20230423184644"
"18","Diplotaxis_tenuifolia","1935530","","1494","20230321015530"
"19","Tập_tính_tích_trữ","7847471","","3817","20200823170056"
"20","Máy_làm_bánh_kếp","19735934","","13648","20230719014443"
"21","Chế_độ_ăn_lành_mạnh","13743956","","8111","20230608022544"
"22","Bisteck_a_la_chorrillana","3658145","","1814","20220109150408"
"23","Natri_selenit","804745","","5530","20230420133937"
"24","Hello_Panda","19468959","","3026","20230618103558"
"25","Mì_sợi_Trung_Quốc","14458008","","4002","20220105141040"
"26","Ghrelin","13629828","","6518","20230324010051"
"27","Lactarius_indigo","744517","","3552","20230105061648"
"28","Từ_cô","2228252","","4269","20221107005332"
"29","Bún_chả","15910","","10305","20230619083759"
"30","Ráng_đại","2277113","","2509","20230723163826"
"31","Carpaccio","531690","","3597","20211212091118"
"32","Nếp_cái_hoa_vàng_Đại_Thắng","3271069","","17828","20230130223515"
"33","Trứng_vịt_bắc_thảo","586322","","6863","20230318144801"
"34","Ghép_cành","19786718","","2232","20230212064308"
"35","Gạo_vàng","1422422","","4876","20230324005025"
"36","Flavonoid","2355122","","14794","20230613022438"
"37","Chuỗi_cung_ứng_lạnh","14677984","","22625","20221116192617"
"38","Cừu_sữa_Istria","13585850","","5206","20220109151618"
"39","Fritillaria_pudica","2247331","","1592","20211017214023"
"40","Động_vật_tự_ăn_bản_thân","3220327","","4008","20211106153454"
"41","Ngụy_trang","12322","","8485","20220103213232"
"42","Naem","3509387","","17745","20230122095119"
"43","Cà_ri_xanh","854990","","2483","20230513105509"
"44","Ngày_Sữa_Thế_giới","19743514","","3503","20230628150941"
"45","Quả_giả","145854","","2187","20210811212209"
"46","Milkybar","19750289","","2045","20220918020031"
"47","Oligosaccharide","3259645","","4997","20210716032225"
"48","Món_ăn_quốc_gia","19639680","","106489","20230627084940"
"49","Ocimum_campechianum","1827741","","1913","20220104203202"
"50","Chăn_nuôi","349027","","13016","20221029103804"
"51","Bệnh_lây_truyền_qua_đường_nước","14057001","","6839","20230101091948"
"52","Burchellia_bubalina","1833814","","2759","20211027015414"
"53","Laddu","13876563","","2160","20220413021122"
"54","Chế_phẩm_bổ_sung","15190987","","8504","20220703225304"
"55","Bánh_cốm","1181045","","3284","20230228143309"
"56","Trà_đen","1295595","","6458","20230403072359"
"57","Phản_ứng_Maillard","19798626","","6747","20230420084012"
"58","Kèo_nèo","865875","","6022","20230425163531"
"59","Dưa_lê","3226095","","3490","20230610093409"
"60","Siêu_thực_phẩm","14824876","","13083","20221123183353"
"61","Mì_ăn_liền","73907","","48082","20230627084044"
"62","Beta-glucan","673635","","9188","20210715101828"
"63","Đá_gel","3634998","","1965","20220125100154"
"64","Parafin","16935","","7243","20221208194120"
"65","Kompot","3393286","","2884","20230105042939"
"66","Bảo_tàng_Bánh_mì_Warsaw","19511231","","3143","20220406205236"
"67","Lựu","417258","","66736","20230409114941"
"68","Trà_oản","15470467","","9546","20230215065521"
"69","Porteresia","2404742","","1148","20220304233039"
"70","Thịt_gác_bếp","522218","","2568","20230609150857"
"71","Idli","19132489","","18724","20221031095636"
"72","Kem_sô_cô_la","14541766","","8398","20221210081122"
"73","Enoxolone","15275271","","10931","20211120191624"
"74","Hạt_ngũ_cốc","13946566","","1680","20221111062246"
"75","Bánh_su_kem","789571","","1629","20230610115548"
"76","Bếp_năng_lượng_Mặt_Trời","60180","","24734","20230506181950"
"77","Freedom_fries","13504868","","2754","20211220112730"
"78","Loganberry","19529500","","3538","20221004181349"
"79","Arabidopsis_thaliana","828976","","10772","20230130175505"
"80","Luk_chup","19656708","","4651","20230505161056"
"81","Hạt_côla","301934","","7816","20210801150532"
"82","Cholesterol","2586","","14905","20230513204028"
"83","Panulirus_japonicus","3252705","","2509","20230609142129"
"84","Hủ_tiếu_gõ","819358","","5542","20230620083944"
"85","Amanita_caesarea","7471806","","2728","20211207233639"
"86","Màn_thầu","836018","","4265","20220507055413"
"87","Thực_hành_sản_xuất_tốt","19510636","","2734","20230107090720"
"88","Borax","26415","","8574","20230725141859"
"89","Nạn_đói_năm_Ất_Dậu,_1944–1945","5766","","46699","20230308154707"
"90","Thực_phẩm_sức_khỏe","14967137","","5763","20211101092851"
"91","Pizza_Sicilia","819360","","2565","20190211014917"
"92","Pleurotus_djamor","773912","","1349","20210827153035"
"93","Naan","3305259","","14050","20210915171218"
"94","Mặc_cảm_thiếu_cơ_bắp","312551","","6837","20230627135120"
"95","Trái_cây_phủ_sô-cô-la","19701508","","3264","20220216161034"
"96","Bovista_pila","3307265","","2773","20210815171734"
"97","Leontodon_taraxacoides","1846315","","1455","20211201235516"
"98","Nghệ_thuật_ẩm_thực","19813223","","7832","20230708035644"
"99","Chè_bánh_lọt","626282","","8785","20230331053337"
"100","Mưa_thịt_Kentucky","14672185","","6548","20200821010142"
"101","Kinh_tế_học_nông_nghiệp","19762348","","21865","20221206144649"
"102","Giấm","349280","","9495","20221227055529"
"103","Chinmi","19814857","","3124","20230716024719"
"104","Mỡ_chài","1645277","","903","20221220055414"
"105","Chế_độ_ăn_cho_người_tiểu_đường","15347739","","7550","20211120192559"
"106","Butyl_acetat","477712","","4157","20230613090023"
"107","Lửa","45588","","28208","20230620131226"
"108","Begonia_sutherlandii","2333491","","1572","20211220055252"
"109","Mùi_tàu","78497","","2338","20230301021820"
"110","Thùng_rời","14703630","","1656","20190711110147"
"111","Buttermilk","19809936","","11322","20230709123238"
"112","Ẩm_thực_kết_hợp","269126","","10667","20230525073908"
"113","Bia_(thức_uống)","19451","","46092","20230118144449"
"114","Tom_kha_kai","918185","","2985","20221217020354"
"115","Nấm_hầu_thủ","1000972","","2431","20220307002445"
"116","Nạn_đói_lớn_ở_Trung_Quốc","154552","","6849","20230105135808"
"117","Tarte_tropézienne","19806381","","4408","20230714153335"
