"number","title","pageid","namespace","length","touched"
"1","Bách_khoa_toàn_thư","961","","23421","20230718154108"
"2","Hiệu_ứng_nhà_kính","2374","","18236","20230406142642"
"3","Thời_gian","2563","","21730","20230627063234"
"4","Lịch_sử","3081","","24303","20230625092616"
"5","Công_Nguyên","3648","","5362","20230222022106"
"6","Lịch_sử_vật_lý_học","3674","","9858","20210802145303"
"7","Vụ_Nổ_Lớn","4184","","138418","20230423091354"
"8","Toàn_cầu_hóa","4314","","50487","20230605235408"
"9","Vết_đen_Mặt_Trời","5110","","14851","20230424024510"
"10","Biểu_đồ_niên_đại_các_nhà_soạn_nhạc_cổ_điển","5604","","791","20151006044534"
"11","Đô_thị_hóa","5697","","6355","20230428095929"
"12","Thuyết_nội_cộng_sinh","6773","","13595","20221224132352"
"13","Ngày_Julius","7105","","8151","20230125134403"
"14","Vô_thường","9320","","11920","20230609032435"
"15","Trận_Vòng_cung_Kursk","12593","","229117","20230709121337"
"16","Trận_Stalingrad","12594","","165599","20230717132431"
"17","Năng_lượng_tái_tạo","13199","","39657","20230629165932"
"18","Phục_Hưng","13824","","112522","20230701093038"
"19","Sự_kiện_Tết_Mậu_Thân","14210","","173400","20230705215713"
"20","Rumelihisari","16319","","1301","20211110121734"
"21","Anadoluhisari","16330","","857","20151006033604"
"22","Nhập_cư","18091","","1248","20210810121546"
"23","Di_dân","18099","","2663","20220822051619"
"24","Thám_hiểm","18339","","5003","20180407095344"
"25","Hậu_hiện_đại","19446","","6928","20230113091334"
"26","0_(năm)","23567","","17638","20230618022702"
"27","Gia_phả","23651","","8198","20221112004249"
"28","Gia_phả_học","23707","","1759","20210717055642"
"29","Thần_thoại","24370","","15246","20221217114337"
"30","Thời_đại_Khám_phá","24752","","193724","20230707062013"
"31","Học_thuộc_lòng","27896","","5629","20230409034637"
"32","Chiến_tranh_Lạnh","30668","","207366","20230720143225"
"33","Bản_đồ_Piri_Reis","30698","","2883","20220511223704"
"34","Constantinopolis","31365","","6381","20221111035720"
"35","Lỗ_sâu","32075","","15289","20221006030219"
"36","Lịch_sử_Hồng_Kông","35740","","11750","20211117063930"
"37","Trận_Midway","35829","","87203","20230707072049"
"38","Lịch_sử_thế_giới","36304","","118291","20230725021243"
"39","Lịch_sử_Trái_Đất","36659","","82712","20230727095947"
"40","Họ_Người","36972","","23848","20230101055230"
"41","Lưỡi_liềm_Màu_mỡ","37402","","2135","20230515140530"
"42","Lịch_Gregorius","37831","","45275","20221217103757"
"43","Khâm_định_Việt_sử_Thông_giám_cương_mục","42984","","16765","20210827002449"
"44","Hãn","44390","","3014","20230308151030"
"45","Trận_Verdun","45035","","99996","20230405170917"
"46","RMS_Titanic","45093","","98779","20230415134319"
"47","Công_trình_văn_hóa","49982","","674","20200813062151"
"48","El_Niño","51453","","49796","20230721122633"
"49","Khởi_nghĩa_Chu_Đạt","57605","","1519","20211110130151"
"50","Đế_quốc_Gupta","63574","","19342","20230708153347"
"51","Lịch_sử_Kitô_giáo","64685","","4170","20230601020911"
"52","Trận_Moskva_(1941)","65661","","113591","20230711061639"
"53","Ấm_lên_toàn_cầu","70046","","292685","20230714144748"
"54","Trận_Trân_Châu_Cảng","74763","","168078","20230609053547"
"55","Ernst_Haeckel","79481","","3504","20221212001747"
"56","Thời_kỳ_Khai_Sáng","80324","","94257","20230707060453"
"57","Nhà_tù_Côn_Đảo","80900","","11377","20221214115047"
"58","Việt_Bắc","81348","","4122","20230619061931"
"59","Thời_tiền_sử","81441","","37302","20221024212710"
"60","Bạch_Dinh","85541","","7005","20230116071300"
"61","Lục_bộ_(Việt_Nam)","86850","","15653","20220407234043"
"62","Kim_Ngọc","90104","","19076","20230621231146"
"63","Juan_de_Grijalva","92093","","1821","20211214114506"
"64","Thời_đại_đồ_sắt","94199","","23907","20210803135608"
"65","Hiệp_ước_Latêranô","94278","","5944","20230105174824"
"66","Huyền_Thố","95007","","475","20210928202641"
"67","Trận_Leningrad","95400","","175098","20230506011725"
"68","Đại_hội_Đảng_Cộng_sản_Việt_Nam_lần_thứ_VI","96220","","39183","20220924042945"
"69","Belle_Époque","96367","","9711","20200818170641"
"70","Trận_Quan_Độ","98024","","18896","20230601134652"
"71","Chiến_tranh_Anh–Miến_Điện","99287","","1920","20210110222211"
"72","Hải_chiến_Tsushima","100957","","33873","20230613131708"
"73","Trận_Phụng_Thiên","101178","","15965","20220523071448"
"74","Dòng_thời_gian_lịch_sử_tiến_hóa_của_sự_sống","102563","","46956","20230418112112"
"75","Hoài_niệm","103084","","6539","20230504013800"
"76","Viện_bảo_tàng","106902","","20674","20230710024506"
"77","Việt_Nam_trong_Chiến_tranh_thế_giới_thứ_nhất","107159","","6689","20230717122507"
"78","Chiến_Quốc_sách","107627","","2133","20220804231532"
"79","Chiến_dịch_Mũi_Tên_Xuyên","108758","","5043","20220804231243"
"80","Danh_sách_cuộc_xâm_lược","112520","","9415","20230321174032"
"81","Trận_Marathon","113210","","33973","20221216063417"
"82","Phong_trào_Nghĩa_Hòa_Đoàn","122479","","19062","20230528124141"
"83","Lời_chúc_rượu","123717","","32202","20211227204904"
"84","Vụ_bắt_giữ_và_sát_hại_Ngô_Đình_Diệm","125312","","4664","20230725082710"
"85","Chủ_nghĩa_lãng_mạn","125796","","20595","20230721070603"
"86","Trận_Leuctra","130384","","14777","20230608090518"
"87","Tiến_hóa","132754","","283498","20230725215328"
"88","Trận_Xích_Bích","136495","","52220","20221011014429"
"89","Cộng_hòa_Weimar","138470","","16727","20230720115243"
"90","Trận_Ardennes_(Thế_chiến_thứ_hai)","138917","","24893","20230506011723"
"91","Việt_Thường","142795","","7632","20230722022725"
"92","Niên_hiệu","143504","","11084","20220510095534"
"93","Jayavarman_VIII","146293","","1731","20221220221706"
"94","Trận_Chancellorsville","146639","","14601","20221219213207"
"95","Ang_Mey","146803","","10699","20230609163943"
"96","Udayadityavarman_II","146973","","1740","20221027180601"
"97","Yasovarman","146974","","1066","20211213160123"
"98","Indravarman_I","146979","","1674","20211213160524"
"99","Jayavarman_III","146984","","836","20211017205748"
"100","Bhavavarman_I","146985","","2431","20211213164611"
"101","Suryavarman_II","146988","","4900","20220915072343"
"102","Dharanindravarman_II","146996","","1592","20210305082713"
"103","Trí_nhớ_hình_ảnh","150882","","1515","20230712103427"
"104","Hồi_ký","151341","","3908","20221225152446"
"105","Tự_truyện","153265","","7488","20210824185640"
"106","Jayavarman_I_(Chân_Lạp)","157391","","2773","20210314125126"
"107","Tribhuvanāditya","157569","","941","20230318071138"
"108","Srindravarman","157620","","725","20211012185424"
"109","Niên_hiệu_Nhật_Bản","163209","","54029","20230703050018"
"110","Trận_Đồng_Quan_(211)","182579","","83901","20220804231415"
"111","Titus_Livius","184219","","738","20220330163957"
"112","Thế_Holocen","184572","","6837","20230315121253"
