"number","title","pageid","namespace","length","touched"
"1","Cộng_đồng_tưởng_tượng","19775882","","15709","20230113102225"
"2","Dấu_viết_lược","19692499","","2379","20220209070430"
"3","Thuốc_tại_chỗ","15236256","","4358","20220103143931"
"4","Điện_hạ","15154112","","4033","20200823190350"
"5","Fandub","14809583","","3159","20230616000733"
"6","Cơ_địa","11383789","","4218","20220206123524"
"7","Truyền_thanh_radio","501976","","13215","20230711210901"
"8","Kabedon","15532312","","4364","20211112125713"
"9","Tiếng_Valencia","16374216","","22608","20230105174624"
"10","Tiếng_Kangean","14816082","","1113","20210814131736"
"11","Đánh_giáp_lá_cà","13873668","","5379","20210819124547"
"12","Dịch_nghĩa_đen","19740404","","1264","20230126232128"
"13","Chủ_nghĩa_Đại_Hán","417088","","8830","20230430181506"
"14","Kim_thạch_học","15320615","","4346","20200414173441"
"15","Điều_trị_đa_mô_thức","13825164","","7338","20230405144305"
"16","Mệnh_phụ","15430810","","43520","20230526124405"
"17","Thành_ngữ","2422324","","1844","20221030024220"
"18","Thuật_ngữ_tiếng_Ý_trong_âm_nhạc","5601","","24646","20230519134330"
"19","Mặc_khải","40107","","5821","20221023071908"
"20","Luật_công","3225193","","1775","20220509032808"
"21","Nhân_vị_tính","3651986","","1705","20221105151555"
"22","Ngữ_liệu_văn_bản","1059242","","3155","20220210103619"
"23","Dấu_gạch_ngang","15468179","","3555","20230428013431"
"24","StarDict","147140","","6575","20220225050258"
"25","Tiếng_Sumer","2361537","","9218","20230707125345"
"26","Tiêu_diệt_hoàn_toàn_(xe_thiết_giáp)","1764440","","3400","20210705235531"
"27","Bảng_chữ_cái_Azerbaijan","14846179","","4256","20230506033950"
"28","Văn_học_dân_gian","3160208","","11539","20230603122504"
"29","Thiết_kế_web","341145","","7130","20210804141356"
"30","Châm_biếm","3186385","","6898","20230724170624"
"31","Phương_ngữ_chuẩn","507809","","70","20171119131334"
"32","Making_out","15462118","","2482","20221206134922"
"33","Tuyển_tập","792426","","1818","20220322145741"
"34","Đồ_họa_chuyển_động","3260910","","28721","20220408181426"
"35","Danh_pháp","353259","","2342","20230512045143"
"36","Dây_thanh_âm","14401652","","5378","20230323223430"
"37","Tiếng_Phạn","17537","","83958","20230707123513"
"38","Concerto","16139","","5953","20211009010231"
"39","Phúc_tấn","2288402","","44287","20230716185313"
"40","Thật_sự_cầu_thị","867633","","1557","20160729100718"
"41","Bảng_chữ_cái_Uyghur_Latin","19434113","","3615","20220802230914"
"42","Nhóm_ngôn_ngữ_Frisia","524554","","4041","20211026222922"
