"number","title","pageid","namespace","length","touched"
"1","Cổ_điển_giao_thoa","252294","","4074","20210730063322"
"2","Wirtland","19549845","","9519","20221030054537"
"3","Gamma","845467","","884","20220105040832"
"4","Văn_học_không_tưởng","19425550","","3590","20220217015402"
"5","So_sánh_các_chương_trình_quản_lý_tải_xuống","374047","","21486","20230303195718"
"6","Cut_the_Rope","1763186","","20576","20230103065038"
"7","Spore","3138439","","28422","20221112002713"
"8","Áp_phích","528743","","3071","20230531043731"
"9","Turla_(phần_mềm_độc_hại)","19804296","","4529","20230709113316"
"10","Quảng_cáo_video","19333960","","30894","20230510043952"
"11","MC_dự_báo_thời_tiết","19470284","","2300","20221006052733"
"12","Trình_quản_lý_tải_xuống","316063","","2410","20220207111803"
"13","Hệ_chữ_viết","1296122","","17265","20220129052100"
"14","So_sánh_các_phần_mềm_BitTorrent","43739","","31571","20200823162447"
"15","VIQR","95","","2841","20230222081019"
"16","MongoDB","19691925","","8977","20230417065358"
"17","Nhạc_Latinh","19577502","","6743","20230629052235"
"18","Rút_lại_ấn_phẩm_học_thuật","19712944","","50674","20230105064921"
"19","Foxit_Software","8052892","","18525","20230616084015"
"20","Kiwix","1641659","","3186","20221129091600"
"21","Ngọc_Trinh_(người_mẫu)","11934263","","35679","20230627051201"
"22","SPSS","313227","","6172","20230320070054"
"23","Trùm_truyền_thông","19428688","","1029","20221006033616"
"24","Truyền_thông_học","19809706","","4424","20230705221159"
"25","Thời_biểu_của_Microsoft_Windows","3134695","","18142","20230218130533"
"26","Chamrieng_Samai","14314131","","1691","20210227123715"
"27","Einstein@Home","3162548","","7051","20221231184949"
"28","Wikibooks","8532","","4021","20221211043630"
"29","Khắc_gỗ","8250","","22043","20230215192507"
"30","Ngôn_ngữ_viết","16019860","","2079","20221119102141"
"31","Giám_đốc_sản_xuất","2413485","","2231","20221006060957"
"32","Truyền_hình_Internet","811934","","1914","20220920001229"
"33","Balloonfest_'86","15965490","","10211","20210705023845"
"34","Báo_viết","402397","","62794","20230703154525"
"35","Hãng_Thông_tấn_Trung_ương_(Trung_Hoa_Dân_Quốc)","2393231","","1956","20211225060825"
"36","Đơn_vị_chế_tác","19363636","","3457","20230315220506"
"37","MATLAB","36034","","12819","20221012064040"
"38","Video_theo_yêu_cầu","415183","","29429","20230101061621"
"39","Oracle_Database","19540692","","13286","20210717130818"
"40","In_thạch_bản","8412","","6784","20221127165749"
"41","Re:Zero_−_Bắt_đầu_lại_ở_thế_giới_khác","3386576","","53972","20230702164137"
"42","Lịch_sử_chữ_viết","98443","","15748","20230614091617"
"43","Truy_cập_mở","15109999","","4298","20230101055817"
"44","Điện_ảnh_tương_tác","3264224","","6647","20220926082653"
"45","Nhóm_nhạc_nam_nữ","19659019","","4015","20211118121804"
"46","Ultraman_Ginga","2286791","","6151","20230106173005"
"47","Doctor_Who","459768","","17309","20230101154913"
"48","IndieWeb","19596240","","1856","20211010155126"
"49","Informix","103912","","18581","20221226082841"
"50","Corpse_Party","14535440","","27754","20230519073400"
"51","Bút_máy","146072","","3485","20221222163428"
"52","Tiện_ích_mở_rộng_trình_duyệt","19482036","","15891","20221025065047"
"53","The_Good,_the_Bad_and_the_Ugly_(nhạc)","7457149","","5242","20210805214110"
"54","Truyền_thông_Campuchia","14740388","","24324","20230319112621"
"55","Giải_Grammy","188040","","44445","20230625035524"
"56","MAMP","19768064","","3276","20221127082439"
"57","RealD_3D","3695941","","9174","20221211211246"
"58","Nhạc_điện_tử","470596","","16361","20230630002941"
"59","Media_richness_theory","19333042","","60852","20220926063944"
"60","Dolby_Atmos","3692631","","13984","20220624095120"
"61","Xiaohongshu","19797104","","16420","20230424123704"
"62","Weekly_Shōnen_Magazine","19809181","","2338","20230705231518"
"63","Máy_nhắc_chữ","3389516","","3941","20221119104954"
"64","Bi_kịch","3125966","","8922","20230607013841"
"65","The_Legend_of_Zelda","139376","","37227","20230513030953"
"66","Paloma_Blanca","19562059","","8756","20220105143849"
"67","School_Days","598760","","69020","20230106124954"
"68","Ổ_đĩa","172783","","379","20221111133614"
"69","The_Strad","19724980","","4213","20220925092906"
"70","Ngày_Quốc_tế_biết_Chữ","3144974","","4687","20220207093009"
"71","Trope_(điện_ảnh)","19588001","","5147","20220516155720"
"72","Avast_SecureLine_VPN","19747902","","4564","20220817080911"
"73","Chữ_Nôm","882","","73544","20230526112003"
"74","Pixel_aspect_ratio","817003","","6217","20220323101743"
"75","Apache_Hadoop","1238136","","8891","20220915130142"
"76","Tạp_chí_trực_tuyến","19609784","","7036","20221005034343"
"77","Reuters","18434","","3659","20221126061007"
"78","GameSpot","795186","","23181","20230101053758"
"79","PostgreSQL","6414","","3220","20230705015429"
"80","Chữ_Pahawh_Hmông","3392994","","17562","20220104090507"
"81","Blogger_(dịch_vụ)","79681","","4728","20230415114229"
"82","Giấy_in_nhiệt","14670683","","2602","20201026162149"
"83","WhatsApp","2447762","","6410","20220829172042"
"84","Thông_tấn_xã_Việt_Nam","29888","","14063","20230325110721"
"85","Christianity_Today","1353917","","10533","20211116123128"
"86","Ghi_hình","19480291","","1138","20210619065449"
"87","Bitch_Lasagna","19703863","","15077","20230717165209"
"88","Công_nghiệp_phần_mềm","19357771","","5961","20210805103721"
"89","Xbox_360","89028","","76442","20230510063439"
"90","Dữ_liệu_lớn","2448029","","37633","20230615000919"
"91","Thước","50750","","4345","20220112090835"
"92","Thiết_kế_truyền_thông","13191417","","9956","20210817101823"
"93","Cải_tiến_mã_nguồn","47550","","2555","20230610181727"
"94","Album","135863","","6715","20220323092746"
"95","Thảo_thư","2446956","","10557","20210705105332"
"96","Mistika","925935","","1196","20220123081233"
"97","Donkey_Kong","19615773","","31115","20230329091445"
"98","Google_Pinyin","277367","","1463","20220406205603"
"99","Aspen_HYSYS","14773420","","6238","20210228005203"
"100","Đội_ngũ_sản_xuất","14557854","","1795","20230315214743"
"101","Máy_chiếu_kỹ_thuật_số","13694","","3133","20211218095112"
"102","ICQ","3253618","","3527","20230102043947"
"103","Nhà_biên_kịch","46137","","7083","20221127074704"
"104","Kiểm_duyệt_và_phân_loại_phim","280323","","52488","20230626095157"
"105","Chicken_Invaders_(trò_chơi_điện_tử)","13828291","","23548","20230127024113"
"106","Cổ_văn_tự_học","3689224","","613","20210622231144"
"107","Thiết_kế_web","341145","","7130","20210804141356"
"108","Sách_trực_tuyến","87669","","1004","20201214125739"
"109","Truyện_Gối_đầu","19816344","","26114","20230723100906"
"110","Free_Download_Manager","19745579","","11533","20220810063308"
"111","Đồ_họa_chuyển_động","3260910","","28721","20220408181426"
"112","Idols_(chương_trình_truyền_hình)","356202","","11029","20230723080914"
"113","Máy_in_laser","329018","","4234","20210712031435"
"114","Joomla!","57626","","19095","20230114202029"
"115","DCE","3434851","","1035","20211220110848"
"116","Phạm_vi_công_cộng","12116","","2636","20220223112710"
"117","Xích_Markov_Monte_Carlo","19713847","","11103","20230419064010"
"118","Just_Dance_(loạt_video_game)","19415218","","35607","20221206111809"
