"number","title","pageid","namespace","length","touched"
"1","Chiến_tranh_Việt_Nam","779","","565957","20230726152141"
"2","Chiến_tranh_Đông_Dương","1287","","486001","20230722143447"
"3","Chiến_tranh_Vùng_Vịnh","1290","","119574","20230720151936"
"4","Phong_trào_Chữ_thập_đỏ_và_Trăng_lưỡi_liềm_đỏ_quốc_tế","1418","","40630","20230306111423"
"5","Chiến_tranh_thế_giới_thứ_hai","2350","","259466","20230626193416"
"6","Giáo_hoàng_Gioan_Phaolô_II","3744","","162546","20230617034832"
"7","Đại_tướng","8308","","16898","20230724085821"
"8","Quân_lực_Việt_Nam_Cộng_hòa","8542","","40051","20230713032219"
"9","Thống_tướng","8573","","7253","20230718091958"
"10","Chuẩn_tướng","8574","","11924","20230714174119"
"11","Nguyên_soái","8578","","13366","20230723122845"
"12","Quân_hàm","8605","","48848","20230702071404"
"13","Chiến_tranh_Bảy_Năm","9797","","57959","20230705145942"
"14","Chiến_tranh_lạnh_(thuật_ngữ)","10534","","1188","20220113143555"
"15","Blitzkrieg","10596","","76876","20230717195059"
"16","Đô_đốc","12112","","8833","20230616145540"
"17","Đối_chiếu_cấp_bậc_quân_sự","12434","","8831","20221010011304"
"18","Chiến_tranh_Triều_Tiên","12470","","193074","20230609204507"
"19","Trận_Vòng_cung_Kursk","12593","","229117","20230709121337"
"20","Trận_Stalingrad","12594","","165599","20230717132431"
"21","Chiến_tranh_thế_giới_thứ_nhất","13921","","182412","20230726042909"
"22","Sự_kiện_Tết_Mậu_Thân","14210","","173400","20230705215713"
"23","Chiến_tranh_biên_giới_Việt_Nam_–_Campuchia","15372","","142942","20230604113532"
"24","Chiến_tranh_biên_giới_Việt–Trung_1979","15373","","218453","20230701074103"
"25","Cao_ủy_Liên_Hợp_Quốc_về_người_tị_nạn","16098","","5671","20230515021951"
"26","Ủy_ban_Chữ_thập_đỏ_quốc_tế","23459","","6894","20230115152453"
"27","Súng","25662","","75131","20230707124515"
"28","Lực_lượng_vũ_trang","26881","","4153","20230614020644"
"29","Cuộc_tấn_công_Iraq_2003","27387","","37074","20230722024105"
"30","Chiến_tranh_Iraq","27812","","28384","20230106081421"
"31","Khủng_bố","28912","","56227","20230606140338"
"32","Osama_bin_Laden","29130","","167271","20230619232716"
"33","Chiến_tranh_Lạnh","30668","","207366","20230720143225"
"34","Entente","30731","","12211","20230320142935"
"35","Điện_báo_Zimmermann","30869","","4357","20230527132450"
"36","Cơ_quan_Tình_báo_Trung_ương_(Hoa_Kỳ)","31028","","35782","20230722171111"
"37","Thuyết_domino","31277","","22269","20230726151835"
"38","Trận_Poltava","31638","","54658","20221228153315"
"39","Chiến_tranh_Kế_vị_Tây_Ban_Nha","31640","","77896","20230629050641"
"40","Đại_chiến_Bắc_Âu","31675","","77970","20230105095156"
"41","Adolf_Hitler","32049","","243118","20230717042403"
"42","Tổng_tư_lệnh","32260","","2421","20221121121903"
"43","Vũ_khí","32263","","35238","20230219052725"
"44","Thượng_tá","33007","","3154","20230407121817"
"45","Hải_quân","33578","","5260","20220418145652"
"46","Công_binh","33579","","1054","20201229082527"
"47","Không_quân","33583","","11142","20230115165803"
"48","Lục_quân","33587","","14753","20230606155553"
"49","Lực_lượng_Biên_phòng","33593","","1077","20220403040048"
"50","Pháo_binh","33751","","713","20211117005609"
"51","Hậu_cần_quân_sự","33758","","674","20150813152113"
"52","Vũ_khí_kiến_tạo_gây_động_đất","33853","","1333","20230106191128"
"53","Trận_Midway","35829","","87203","20230707072049"
"54","KGB","36969","","94475","20230626074050"
"55","Quân_ủy_Trung_ương","38487","","1297","20181021150433"
"56","Trận_Minden","39377","","5962","20210401141849"
"57","Chiến_tranh_toàn_diện","40585","","3426","20210622133612"
"58","Bạo_loạn","41469","","4215","20221003042122"
"59","Đình_công","42791","","1889","20230123011712"
"60","Súng_trường","42950","","37312","20230309212500"
"61","Súng_máy","42953","","13843","20220122080434"
"62","Thủy_quân_lục_chiến","42989","","1755","20230325183535"
"63","Trang_bị_kỹ_thuật_công_binh","44407","","1602","20211117011138"
"64","Trận_Verdun","45035","","99996","20230405170917"
"65","Ngư_lôi","45587","","15652","20230123214715"
"66","Chiến_tranh_thành_Troia","51174","","12366","20230420122036"
"67","Thế_giới_tự_do","51198","","4934","20220616050803"
"68","Cách_mạng","51251","","14970","20230226024754"
"69","Trại_giam_Vịnh_Guantánamo","51285","","3332","20220103145044"
"70","Công_ước_Genève_về_đối_xử_nhân_đạo_với_tù_binh,_hàng_binh_chiến_tranh","53335","","17439","20211026162840"
"71","Quân_luật","57203","","2400","20160217133542"
"72","Phá_rừng","57285","","30995","20230701001806"
"73","Kỹ_thuật_quân_sự","57782","","2223","20220222071009"
"74","Chuẩn_đô_đốc","59004","","6655","20230630112327"
"75","Siêu_cường_quốc","62069","","48166","20230608111731"
"76","Tiêu_thổ","62391","","12823","20230620123648"
"77","Khởi_nghĩa_Lam_Sơn","62574","","58501","20230618085045"
"78","Nội_chiến","62821","","11065","20211123064818"
"79","Phe_Trục","62901","","15284","20230525115349"
"80","Thập_tự_chinh","62970","","43359","20230404082526"
"81","Samurai","63698","","28190","20230425130438"
"82","Chiến_tranh_Anh–Zanzibar","64975","","38400","20220516002214"
"83","Trận_Moskva_(1941)","65661","","113591","20230711061639"
"84","Jawaharlal_Nehru","67564","","13216","20220326033035"
"85","Botnet","68884","","13142","20230607092147"
"86","Thần_phong","69014","","48367","20230628044617"
"87","Tây_Đức","69146","","49447","20230609012334"
"88","Hồng_quân","71576","","85032","20230721030044"
"89","Phương_diện_quân_(Liên_Xô)","72706","","24065","20221209200808"
"90","Bạo_loạn_miền_Nam_Thái_Lan","73206","","13250","20230506041625"
"91","Đạn","74395","","21639","20230714005204"
"92","Đạn_dẫn_đường_chính_xác","74398","","6342","20230201160114"
"93","Trận_Trân_Châu_Cảng","74763","","168078","20230609053547"
"94","Quân_đội","75333","","41172","20230310124150"
"95","Chiến_tranh_chống_khủng_bố","75341","","52833","20230227080923"
"96","Tác_chiến_điện_tử","75864","","21886","20211223082824"
"97","Đạn_dược","75971","","4194","20220409160441"
"98","Lương_tâm","76509","","1946","20230309161054"
"99","Sân_bay_quốc_tế_Irkutsk","76631","","2751","20220308134823"
"100","Chiến_tranh","76943","","50607","20230515013707"
"101","Danh_sách_vũ_khí","77659","","1590","20190208120746"
"102","Kế_hoạch_Marshall","78300","","88018","20230713135646"
"103","Vũ_khí_hóa_học","78971","","4542","20211112023814"
"104","Tên_ký_hiệu_của_NATO","80305","","8620","20230418224441"
"105","Xâm_lược","80306","","15692","20221112140349"
"106","Chiến_tranh_xâm_lược","80407","","3850","20230126035503"
"107","Dùi_cui","80602","","1937","20221210035251"
"108","Đương_lượng_nổ","82890","","3497","20220109125035"
"109","Máy_bay_ném_bom_chiến_lược","83110","","8719","20221220220059"
"110","Máy_bay_ném_bom","83179","","11090","20220402092902"
"111","Tư_lệnh","83992","","1084","20230224082218"
"112","Xung_đột_pháp_luật","84482","","3390","20210530155322"
"113","Đạn_cối","85272","","1984","20200214092248"
"114","Thủy_lôi","85598","","4611","20230618044122"
"115","Bom_ba_càng","85736","","10656","20221125123554"
"116","Bộ_binh","86435","","5660","20230503120437"
"117","MK-50","86681","","4333","20210822081415"
"118","Ngư_lôi_MK-54_LHT","86718","","3656","20210611072207"
"119","Ninja","86786","","18685","20230711050604"
"120","Bumerang","86901","","7415","20230206093539"
