"number","title","pageid","namespace","length","touched"
"1","Đinh_Tử_Lãng","19758021","","24375","20230715074218"
"2","3_Doors_Down","781078","","3907","20210812063828"
"3","Atlantic_Records","3381513","","4123","20230425114255"
"4","Up,_Up_and_Away_(bài_hát)","3340368","","4099","20210207044127"
"5","Bass_(âm_thanh)","19569478","","14525","20230207153015"
"6","Electropop","3200649","","3202","20220103073152"
"7","Here_Without_You","3346925","","5229","20220408182506"
"8","Giải_Oscar_cho_nhạc_phim_xuất_sắc_nhất","323512","","74473","20220329121715"
"9","Nhà_thi_đấu","815224","","870","20220324163657"
"10","Lâm_Kiến_Minh","314111","","939","20220219083551"
"11","Nhạc_đại_chúng","2316490","","4279","20220605214340"
"12","Lịch_sử_âm_nhạc","19363737","","15127","20230404054238"
"13","Củng_Lợi","149504","","28838","20230526042622"
"14","Danh_sách_đĩa_đơn_quán_quân_Hot_100_năm_2009_(Brazil)","562355","","1346","20200307171331"
"15","Opus","19546356","","8316","20230612074653"
"16","Goregrind","366129","","8231","20230617152546"
"17","Lương_Gia_Huy","197053","","8033","20220716053411"
"18","Don_Carlos_(opera)","3179881","","804","20151008113613"
"19","Nhảy_sạp","14333643","","11169","20230110201348"
"20","Sarabande","3157159","","3794","20220105020039"
"21","Isadora_Duncan","41916","","14192","20230620170541"
"22","Danh_sách_biện_pháp_tu_từ","19716183","","1891","20230612120410"
"23","R/place","19716046","","15188","20230726132528"
"24","Quẩy_(tiểu_văn_hóa)","15109747","","20092","20230305103542"
"25","Der_Corregidor","3195638","","2151","20211116123201"
"26","Người_điều_khiển_rối","2530099","","2090","20221014081548"
"27","Chaos;Head","13801605","","36855","20230101082633"
"28","Ngô_Trác_Hi","311629","","25203","20230123200507"
"29","Buổi_diễn_thử","14540257","","4008","20210603105846"
"30","Siêu_phản_diện","3513327","","4003","20230704142352"
"31","Nhạc_phòng_chờ","3242020","","1695","20221018120117"
"32","La_Mer_(bài_hát)","2415713","","10641","20230116162937"
"33","Die_Drei_Pintos","3237727","","1338","20220131051924"
"34","Chaconne","2436270","","822","20151006132557"
"35","Blues","7228","","13391","20230502060939"
"36","Công_ty_giải_trí","1764044","","23936","20230615175332"
"37","Ernest_Chausson","2569809","","4277","20211213224703"
"38","Tự_sự","3128039","","11096","20220527103838"
"39","Jean-François_Le_Sueur","2609789","","4179","20211214034022"
"40","Nhạc_Latinh","19577502","","6743","20230629052235"
"41","Chiếc_khăn_tay_màu_xanh_(bài_hát)","19742739","","4435","20230720115739"
"42","Nigel_Godrich","19383791","","2411","20211213193230"
"43","Zielony_Balonik","19356158","","5591","20220325233549"
"44","Édouard_Lalo","2529802","","5314","20220413064323"
"45","Chúa_vốn_Bức_thành_Kiên_cố","70344","","12128","20230515055919"
"46","Bolero_Việt_Nam","1717002","","13970","20230619034354"
"47","Tô_Ngọc_Hoa","197247","","5725","20230509074151"
"48","Against_All_Odds_(Take_a_Look_at_Me_Now)","109325","","2289","20200725004153"
"49","Julian_Przyboś","19763641","","3546","20221107091441"
"50","Il_barbiere_di_Siviglia","2423263","","2134","20230508153128"
"51","Hiệp_hội_Công_nghiệp_Ghi_âm_Việt_Nam","2408129","","10796","20220507163413"
"52","Giải_Grammy_cho_Trình_diễn_song_tấu_hoặc_nhóm_nhạc_giọng_rock_xuất_sắc_nhất","3231825","","28745","20230501063601"
"53","Trương_Quốc_Vinh","116267","","106960","20230420012544"
"54","Trong_khi_chờ_đợi_Godot","814614","","4974","20220517042425"
"55","Thơ_mới","28948","","3788","20230201125809"
"56","Crazier_(bài_hát)","568909","","2302","20211117064901"
"57","Schweizer_Hitparade","626211","","1037","20221116152555"
"58","Đội_ngũ_sản_xuất","14557854","","1795","20230315214743"
"59","West_Side_Story","40698","","4767","20221223022717"
"60","Đấu_vật_chuyên_nghiệp","138139","","2277","20230126232059"
"61","Mã_Tuấn_Vỹ","3383896","","12094","20220102013133"
"62","Suthep_Po-ngam","19198704","","5332","20211214070527"
"63","Pop_rock","820885","","2185","20200823052919"
"64","Thơ_Sáu_Trọng","584177","","7483","20200804175439"
"65","Mộc_cầm","1296065","","3095","20220110083154"
"66","Si_Jantung_Hati","14595460","","5948","20220711074759"
"67","Chúa_phù_hộ_Quốc_vương","12885","","9132","20230622025651"
"68","Back_to_Bedlam","191353","","10574","20230707160319"
"69","Reflection_(bài_hát)","200837","","9375","20230222061558"
"70","Accept","570856","","2068","20220617085718"
"71","Đường_Thi_Vịnh","16766054","","17779","20230608150101"
"72","Twiceland_–_The_Opening","7765543","","11621","20230106125209"
"73","Unconditionally","2440396","","43494","20230301160851"
"74","Diễn_viên_của_năm_của_Gallup_Korea","19716897","","11308","20230623064505"
"75","Rê_trưởng","19635725","","10682","20220507165507"
"76","Xà_lách_Daily_Star","19760303","","22206","20221103054054"
"77","Mahasz","475243","","708","20200813092222"
"78","Gates_of_Heaven_(album)","364943","","2849","20210719095438"
"79","Rigoletto","2431290","","14871","20211013160252"
"80","T.T.L_Listen_2","516598","","1907","20200223114121"
"81","Hiệu_ứng_đặc_biệt","19431472","","3494","20220413024531"
"82","Tuyển_diễn_viên","42809","","1897","20210813090908"
"83","Hiệu_quả_gián_cách","330238","","3089","20211026200032"
"84","Nghệ_danh","7794857","","1101","20211222174552"
"85","Nhạc_cụ","407160","","8276","20220804223714"
"86","Đằng_Lệ_Danh","3387477","","36268","20220524183746"
"87","Miêu_Khả_Tú","326404","","6613","20211214060203"
"88","If_You_Tolerate_This_Your_Children_Will_Be_Next","14874849","","13557","20211010095401"
"89","Phi_vụ_thế_kỷ_(phim)","2803836","","19121","20230209104841"
"90","Butoh","3501207","","9314","20230504181850"
"91","Mata_Aeru_hi_Made","3196941","","2367","20190117082318"
"92","Trương_Trì_Hào","19734303","","30676","20230101054627"
"93","Mông_Gia_Tuệ","3383898","","12372","20211213213110"
"94","Trường_độ","1437305","","702","20211205100254"
"95","Fluxus","19527159","","5399","20211126125911"
"96","Chuyện_ngày_xưa","2313767","","14968","20230611165045"
"97","D.Gray-man","12453130","","115610","20230404052314"
"98","Pénélope_(Fauré)","3180831","","663","20151012101009"
"99","Bộ_dây","1752676","","6177","20220320131025"
"100","Toda_Erika","19673634","","8675","20220202122953"
"101","Nhịp_độ","441132","","2168","20210121155917"
"102","Allemande","2435216","","749","20151211160305"
"103","Bài_Thương_Khó_Chúa_Giêsu_Kitô_Theo_Thánh_Gioan","19795803","","2978","20230618085702"
"104","Nhạc_thế_tục","2415815","","195911","20230202162349"
"105","Toyoshima_Machiko","3265211","","2662","20211024030026"
"106","Abbey_Road_Studios","1439308","","1417","20230101061250"
"107","Glam_metal","19524501","","5503","20211024125604"
"108","Huỳnh_Trí_Văn","15180532","","45531","20230715041024"
"109","Pelléas_et_Mélisande_(Debussy)","3180621","","920","20161205091627"
"110","IMAX","3701798","","20678","20230101060628"
"111","Elisabetta,_regina_d'Inghilterra","3195756","","2913","20210227204557"
"112","Jules_Massenet","1744681","","5176","20230107005733"
"113","Mi_trưởng","10046","","1655","20230622122456"
"114","Polyeucte_(Gounod)","3234610","","2535","20210626035348"
"115","Vanxơ","43898","","8993","20230411141834"
"116","Tìm_kiếm_và_quản_lý_nghệ_sĩ","13464666","","3823","20220115185632"
"117","Buồn_tàn_thu","7659236","","2410","20211028002617"
"118","Phòng_khách","816168","","5401","20230607094141"
"119","Iphigénie_en_Tauride","2451711","","1580","20200513093540"
"120","Bharata_Natyam","3191191","","2297","20230604113512"
"121","John_Cage","642340","","2788","20230427165849"
"122","Carl_Orff","1747324","","4690","20230427232952"
"123","Take_My_Hand,_Precious_Lord","229480","","8097","20211117032224"
"124","Trường_âm_nhạc_Manhattan","19730990","","1954","20220705054611"
"125","Così_fan_tutte","2417823","","4055","20220401214815"
"126","Call_Me_by_Your_Name:_Original_Motion_Picture_Soundtrack","14669495","","16984","20220518091521"
"127","Nét_chủ_đạo","3127315","","4101","20220304051529"
"128","Rhythm_and_blues","49118","","4194","20230615041158"
"129","My_Chemical_Romance","179400","","21232","20210728155543"
"130","Closer_(album_của_Shayne_Ward)","3195241","","863","20230316162716"
"131","Danh_sách_trình_diễn_trực_tiếp_của_Madonna","65432","","1464","20161011101632"
"132","Goose_house","8542623","","6251","20210812195005"
"133","Basse_danse","2435199","","1040","20230201152618"
"134","Tông_nhạc","3701510","","4162","20220413020935"
"135","Nhạc_dân_gian_Anh","3374166","","7167","20211017211428"
"136","B.o.B","644372","","8878","20220830050027"
"137","Chuyện_ma_gần_nhà","19551202","","22359","20230210144356"
"138","George_Frideric_Handel","194894","","50644","20220927114410"
"139","Nhạc_cổ_điển","5447","","13366","20230517125854"
"140","Lie_(bài_hát_của_T-ara)","516592","","2315","20220408183642"
"141","Teresa_Carreño","14383616","","13374","20230706060453"
"142","Nghệ_sĩ_dương_cầm","422950","","6543","20210817044904"
"143","Lê_Tư_(diễn_viên)","1678331","","17386","20211213205122"
"144","The_Carpenters","113571","","16041","20230101062652"
"145","J._Rosamond_Johnson","2261983","","2817","20230610054526"
"146","Mirosław_Kropielnicki","19501297","","3190","20211214110847"
"147","We're_Almost_There","485238","","1710","20200214101639"
"148","Thuốc_bay_lắc","19269824","","21325","20221106151848"
"149","Phương_Hoa","660893","","8276","20211201053721"
"150","Simple_Plan","829624","","1839","20190119204507"
