"number","title","pageid","namespace","length","touched"
"1","Suy_luận_loại_suy","1468501","","2426","20200823055602"
"2","Do_Thái_giáo","328009","","46974","20230602195638"
"3","Coolhunting","343574","","9931","20230518191753"
"4","Đức_Mẹ_La_Mã_Bến_Tre","812248","","9486","20220723035955"
"5","Cách_mạng_xã_hội","3290590","","3286","20220115170847"
"6","Ngôn_sứ","2353738","","2132","20230111083200"
"7","Chủ_nghĩa_thế_tục","3211719","","6650","20230717081704"
"8","Thánh_Mẫu","42272","","1773","20230719090559"
"9","Vật_chất_(triết_học)","456122","","10004","20221018041646"
"10","Phong_tục","406802","","1476","20221105151555"
"11","Ars_Moriendi","813714","","3973","20221111200641"
"12","Nhà_triết_học","28658","","1743","20220528065537"
"13","Tôn_giáo_và_phá_thai","19497772","","26626","20230322170715"
"14","Hiệu_ứng_pizza","18019020","","13918","20211224103453"
"15","Hành_vi_học","2221725","","4547","20230512040713"
"16","Công_đồng_Lateranô_III","1937843","","1703","20170820095954"
"17","Immanuel_Kant","30992","","101772","20230620133655"
"18","Nhất_nguyên","46010","","3849","20211129181427"
"19","Horizon_2000","15202068","","4322","20220420052951"
"20","Lương_tâm","76509","","1946","20230309161054"
"21","Đàn_áp_tôn_giáo","19498047","","13071","20210821125337"
"22","Gandharva","2908585","","1898","20220405131303"
"23","Thần","308567","","6356","20230718081829"
"24","Tu_viện","803853","","5001","20220115103957"
"25","Apeiron_(vũ_trụ_học)","3394443","","4147","20200817225842"
"26","Căn_phòng_tiếng_Trung_Quốc","3253795","","1707","20230115101006"
"27","Ludwig_von_Mises","19526846","","5253","20211213191634"
"28","Di_vật","19724242","","5924","20221120221834"
"29","Giáo_điều","19586204","","5625","20230506025510"
"30","Tu_sĩ","1301143","","4879","20220821071439"
"31","Trần_Đức_Thảo","56515","","28575","20230320224649"
"32","Hộp_đen","1554122","","7789","20230513231337"
"33","Các_tôn_giáo_khởi_nguồn_từ_Abraham","6782","","32742","20220804224218"
"34","Đấng_tạo_hóa","19433700","","2640","20230614005654"
"35","Jaegwon_Kim","1407046","","2687","20211214033718"
"36","Thần_đạo","143986","","32109","20230331142328"
"37","Sự_dung_hợp_tôn_giáo","19790071","","19760","20230606154813"
"38","Nho_giáo","7031","","237064","20230629004012"
"39","Công_đồng_Lateranô_II","1937841","","2608","20211013155357"
"40","Mật_tông","6173","","15241","20230402165829"
"41","Quảng_Cung_Công_chúa","3679117","","7311","20230613161927"
"42","Chiến_tranh_tôn_giáo","7869534","","3522","20220504041334"
"43","Chủ_nghĩa_thực_chứng_logic","19364276","","4325","20211010095127"
"44","Internet_Encyclopedia_of_Philosophy","10725074","","5147","20220414014610"
"45","Thiền_tông_Việt_Nam","19686022","","3925","20220622101600"
"46","Do_Thái_giáo_Hasidim","3144713","","3830","20211203014852"
"47","Quan_hệ_giữa_tôn_giáo_và_khoa_học","19364031","","13094","20211106171556"
"48","Phương_pháp_tương_tự","579909","","3224","20210822131548"
"49","Chủ_nghĩa_bảo_thủ_xã_hội","17115019","","5735","20221117055239"
"50","A-tu-la","851070","","5720","20221203173420"
"51","Thần_cá_thể","298347","","1534","20230315095829"
"52","Lỗ_trắng","32072","","5057","20230625125534"
"53","Chúa_Con","1290007","","1206","20230325080149"
"54","Tái_sinh","31744","","9169","20230409104434"
"55","Quy_luật_phủ_định","801146","","15503","20220628054623"
"56","Kitô_hữu","61833","","44276","20230101054336"
"57","Thí_nghiệm_tưởng_tượng","550623","","2886","20221025002149"
"58","Đa_nguyên_tôn_giáo","19497882","","10596","20201005110244"
"59","Trừu_tượng","3683206","","1311","20221105151555"
"60","Chủ_nghĩa_chống_tư_bản","576685","","8525","20230526160211"
"61","Vấn_đề_tâm-vật","1406926","","4636","20230712003016"
"62","Phép_đặt_tay","19811783","","6798","20230629140923"
"63","Lịch_sử_vũ_trụ","3640494","","9585","20230701084111"
"64","Ngũ_chi_Đại_Đạo","825548","","11367","20230323043253"
"65","Guru_Nanak","3146645","","5260","20230617204059"
"66","Chủ_nghĩa_Marx","16604","","83344","20230110055042"
"67","Lịch_sử_tôn_giáo","270178","","12376","20230213170727"
"68","Latter_Days","3208295","","25109","20220207011941"
"69","Thiết_kế","11135499","","43423","20230724093351"
"70","Thời_đại","19516284","","3759","20211010141630"
"71","Đan_sĩ","1395732","","2141","20230625102536"
"72","Con_lừa_của_Buridan","19721765","","19836","20230418045129"
"73","Đức_tin_Kitô_giáo","32547","","17286","20211117005446"
"74","Quan_điểm_toàn_diện","19514625","","7224","20221115160149"
"75","Vũ_trụ_học_quan_sát","14400502","","14417","20221112091759"
"76","Vụ_Co_Lớn","13127","","5067","20211227091824"
"77","Chúa_Thánh_Linh","29163","","17921","20230121005647"
"78","Chủ_nghĩa_thực_dụng","68887","","4546","20230501005620"
