"number","title","pageid","namespace","length","touched"
"1","Chuí","1347383","","2779","20220926131434"
"2","Thế_hệ","1310143","","832","20221024183552"
"3","Văn_hóa_Sơn_Vi","127046","","2406","20230212220512"
"4","Văn_hóa_Phùng_Nguyên","113588","","10015","20230212220511"
"5","Alagoana_do_Sertão_do_São_Francisco_(tiểu_vùng)","1480096","","1912","20171218160422"
"6","Morbihan","71075","","865","20171016185615"
"7","Nước_biển_sâu","14817780","","5930","20221015045949"
"8","First_Olsen_Tankers","822803","","1463","20230117181624"
"9","Sudeste_de_Roraima_(tiểu_vùng)","1480594","","1874","20220628095956"
"10","Mata_Alagoana_(tiểu_vùng)","1480410","","1836","20200822135050"
"11","Rạn_san_hô","172534","","43415","20230703061132"
"12","Gornja_Radgona","1373586","","3257","20181105171159"
"13","Gyeonggi","246523","","15942","20230626093206"
"14","Vịnh_Chesapeake","157790","","2234","20200214091753"
"15","Sardegna","383425","","12696","20220812071055"
"16","Itaberaba_(tiểu_vùng)","1480329","","1826","20211112132048"
"17","Barro_(tiểu_vùng)","1480162","","1818","20220628093013"
"18","Độ_mặn","97389","","23108","20211224145309"
"19","Qajar_Iran","19710360","","11575","20230413080005"
"20","Hành_tinh_đại_dương","17507937","","13792","20221126174658"
"21","Cây_củ_đậu","129760","","5263","20220121044810"
"22","Mũi_Kamenjak","3685840","","1071","20211104122353"
"23","Nhu_cầu_oxy_hóa_học","104943","","10847","20210803114811"
"24","Porto_Velho_(tiểu_vùng)","1480499","","1860","20220628100018"
"25","Tiếng_Tokelau","862742","","4783","20211213083255"
"26","Canindé_(tiểu_vùng)","1480209","","1836","20220628093015"
"27","Macacu-Caceribu_(tiểu_vùng)","1480397","","1929","20220628095705"
"28","Quân_Giải_phóng_Balochistan","19405396","","11372","20221018163313"
"29","Cao_độ_0","1298280","","1770","20220804230221"
"30","Tucuruí_(tiểu_vùng)","1480615","","1863","20220628094041"
"31","Karoo","3303640","","4578","20210816133109"
"32","Sông_Saint_Lawrence","484145","","2725","20230506012326"
"33","Gubin","1276685","","1788","20210813124838"
"34","Passos_(tiểu_vùng)","1480466","","1842","20200823040901"
"35","Osorio_(tiểu_vùng)","1480447","","1867","20211109131339"
"36","Vòng_hải_lưu_Bắc_Thái_Bình_Dương","19724333","","24650","20230605055715"
"37","Ey_Reqîb","17488313","","30061","20221002052512"
"38","Comines-Warneton","371394","","2116","20221210172217"
"39","Moorea","772303","","2435","20211124015811"
"40","Franche-Comté","119569","","2964","20210924105337"
"41","Cruz_Alta_(tiểu_vùng)","1480263","","1873","20220103013048"
"42","Gramado-Canela_(tiểu_vùng)","1480303","","1885","20200820044910"
"43","Cộng_hòa_Kareliya","413793","","7855","20230718091522"
"44","Năng_lượng_thủy_triều","75614","","37506","20230704063635"
"45","Colider_(tiểu_vùng)","1480252","","1883","20220628093544"
"46","Cảnh_quan_văn_hóa","19482697","","20151","20230701143203"
"47","NEET","15125827","","2420","20220708070502"
"48","Litoral_Norte_Alagoano_(tiểu_vùng)","1480391","","1864","20230604131949"
"49","Cựu_Thế_giới","15894","","2518","20230518022142"
"50","Gaeltacht","13467348","","8871","20211221184015"
"51","Mag_Mell","19477196","","3844","20221202033457"
"52","Anápolis_(tiểu_vùng)","1480119","","1828","20200818022028"
"53","Dãy_núi_Altai","40314","","14443","20220414101625"
"54","Tây_Hạ","2787","","137828","20220115132612"
"55","Ô_nhiễm_hạt_vi_nhựa","19540025","","14613","20230713054430"
"56","Ủy_ban_Khoa_học_về_Nghiên_cứu_Đại_dương","12657439","","4508","20220301114530"
"57","Kinh_tế_Moldova","19795403","","14364","20230402055034"
"58","Vitória_da_Conquista_(tiểu_vùng)","1480641","","1872","20200824234728"
"59","Bán_đảo_Cape_York","1752594","","4895","20211017181206"
"60","Bắc_Anh","7195947","","242233","20230719033504"
"61","Polynya","14800636","","10253","20221017184257"
"62","Xoáy_thuận_nhiệt_đới_hình_khuyên","3229077","","11892","20230630153008"
"63","Vương_quốc_Castilla","570890","","4159","20230415083244"
"64","Khoai_lang","91680","","22130","20230415114126"
"65","Động_đất_Kashmir_2019","15465322","","6357","20220124090649"
"66","Rừng_mưa_nhiệt_đới","64385","","61944","20230506075636"
"67","Srinagar","99884","","5636","20211124124507"
"68","Mashreq","37397","","1503","20230421092517"
"69","Phân_cấp_hành_chính_Cộng_hòa_Dân_chủ_Đức","1282277","","13769","20200818093315"
"70","Srinagar_(huyện)","1334096","","2799","20211017183349"
"71","Bắc_Ossetia-Alania","416950","","7775","20221114200000"
"72","Gobius_hypselosoma","664999","","1824","20220121231051"
"73","Tsada","15522646","","5696","20200825112108"
"74","Sử_dụng_oxy_biểu_kiến","15277717","","2935","20230310072124"
"75","Bodoquena_(tiểu_vùng)","1480175","","1886","20220628095739"
"76","Quần_đảo_Cook","128926","","24556","20221018193628"
"77","Parecis_(tiểu_vùng)","1480463","","1851","20220628093547"
"78","San_Juan,_Puerto_Rico","261439","","23286","20230204152944"
"79","Valença_do_Piauí_(tiểu_vùng)","1480633","","1869","20220105092911"
"80","Bão_Winston","3338162","","2847","20221230124811"
"81","Tỉnh_Kuwait","19793380","","3470","20230320134103"
"82","Antwerpen_(tỉnh)","371755","","5869","20201106140952"
"83","Cộng_hòa_Xã_hội_chủ_nghĩa_Tiệp_Khắc","15114752","","12999","20221029161644"
"84","Bắc_Ireland","78432","","75147","20230531004111"
"85","Đạo_luật_Zluky","17020652","","12382","20230105042751"
"86","Marabá_(tiểu_vùng)","1480407","","1859","20220628094037"
"87","Caratinga_(tiểu_vùng)","1480217","","1853","20220105015321"
"88","Tijucas_(tiểu_vùng)","1480605","","1898","20200825023451"
"89","Sete_Lagoas_(tiểu_vùng)","1480587","","1867","20220103141356"
"90","Núi_Athos","76820","","9861","20230604093627"
"91","Görlitz","3113992","","3011","20230507011515"
"92","Palena_(tỉnh)","258263","","1029","20230415132117"
"93","Vĩ_tuyến_38_Bắc","444438","","3097","20210715140540"
"94","Xanxere_(tiểu_vùng)","1480645","","1900","20200825155614"
"95","Biển_Davis","321187","","2241","20230506014128"
"96","Quần_đảo_Satsunan","1127551","","2822","20221003150110"
"97","Đế_quốc_Timur","1301295","","23532","20230725121444"
"98","Baixada_Maranhense_(tiểu_vùng)","1480147","","1877","20220628092312"
"99","Châu_Đại_Dương","452356","","155645","20230726153213"
"100","Dãy_núi_Taurus","296651","","5607","20230725142902"
"101","Nam_Hoa_Kỳ","400253","","18982","20230506011932"
"102","Hiệp_định_Đối_tác_Kinh_tế_Toàn_diện_Khu_vực","2456562","","53350","20230421044508"
"103","Lãnh_hải","12123","","14424","20211117082712"
"104","Ngày_Đại_dương_Thế_giới","1911058","","4872","20220608161755"
"105","Châu_Mỹ_Tây_Ban_Nha","3237619","","14461","20230704095309"
"106","Goiânia_(tiểu_vùng)","1480300","","1830","20200821075603"
