"number","title","pageid","namespace","length","touched"
"1","Phòng_tiếp_khách","825810","","5119","20211110123526"
"2","Kỹ_thuật_hạ_tầng_đô_thị","101591","","822","20170320091253"
"3","Máy_ảnh","76870","","15559","20230306153854"
"4","Thấu_kính","9419","","6057","20220427142719"
"5","Lễ_hội_Băng_đăng_Quốc_tế_Cáp_Nhĩ_Tân","874601","","8694","20210826115915"
"6","Thủy_văn_học","55445","","16083","20220217053601"
"7","Nhà_thờ_Thánh_Margaret,_Westminster","788025","","3643","20230604100150"
"8","Đức_Mẹ_Sầu_Thương","19428385","","1470","20200803183009"
"9","Sáp_ong","3676730","","21328","20230705064858"
"10","Bảo_tàng_Pergamon","1440826","","1255","20230603012428"
"11","Mỹ_thuật_nguyên_thủy_và_cổ_đại","7459","","5436","20190323042045"
"12","22.2","791915","","4645","20230105055502"
"13","Barbie:_12_nàng_công_chúa","3131726","","2385","20210926042334"
"14","Mỹ_thuật","7698","","5435","20230726045704"
"15","Tranh_giấy_xoắn","251189","","7210","20210812011428"
"16","Hồi_hộp","19635388","","5892","20211206120237"
"17","Azumi","387556","","8531","20221115032510"
"18","Eighth_Graders_Don't_Cry","14686550","","7848","20210820131613"
"19","Đại_chiến_Pixels","3243063","","11537","20220815121255"
"20","Sharktopus","788855","","10261","20230302121143"
"21","Hoàng_Kim_Giáp","420748","","17554","20230526163512"
"22","Bảo_tàng_Orsay","93807","","38054","20230506101514"
"23","Phim_chưởng","15169846","","12237","20220914033726"
"24","Hội_Vật_liệu_Xây_dựng_Việt_Nam","12675315","","2756","20211102131741"
"25","Vùng_đất_câm_lặng","13468294","","95705","20230327203753"
"26","Kunsthal","1585351","","2617","20211219185236"
"27","Túi_mua_sắm_có_thể_tái_sử_dụng","19478903","","3673","20210807105144"
"28","Người_thứ_sáu","642093","","3933","20230124015325"
"29","Quay_thưởng_trong_trò_chơi_điện_tử","19551448","","5121","20210306114432"
"30","Thực_tế_ảo","5672","","32920","20230623153739"
"31","Cửa_hàng_trang_sức","19791819","","1224","20230315154644"
"32","Ma_nơ_canh","19480231","","3002","20220917135852"
"33","Thiết_kế_môi_trường","19803105","","4514","20230607020455"
"34","Chicago_Spire","589437","","2738","20220805124109"
"35","Gambit_(truyện_tranh)","66070","","5926","20190614143426"
"36","Autostereogram","293934","","7476","20221228141655"
"37","Phạm_vi_quan_sát","7495004","","2566","20220830113702"
"38","Diarsenic_trioxide","19048","","4189","20210729120957"
"39","Đồ_họa_vector","1485102","","3143","20221009224334"
"40","Kōrikoppu","19758695","","1565","20230622150406"
"41","Xena","777280","","6808","20230101155100"
"42","Hellmuth,_Obata_&_Kassabaum","28094","","1925","20220313163845"
"43","Khổ_giấy","129989","","5545","20230621202646"
"44","JPEG","18302","","5188","20220308090335"
"45","Alex_Russo","1336825","","23371","20220524183653"
"46","Phép_tự_đẳng_cấu","7574584","","2270","20171007012251"
"47","Captain_America_2:_Chiến_binh_mùa_đông","2604733","","18847","20230609143838"
"48","Trò_chơi_ảo_giác","13504782","","5945","20210827225021"
"49","Đại_đô_thị","774346","","7398","20230714005126"
"50","Barbie:_Hồ_thiên_nga","3128814","","2762","20220124082225"
"51","Nhà_thờ_Hồi_giáo_Sultan_Ahmed","505515","","5204","20211121193540"
"52","Giải_Hoa_Biểu","10147427","","1920","20190621140059"
"53","Nhật_ký_Barbie","3128872","","2584","20210521015447"
"54","Nhiếp_ảnh_ý_niệm","825354","","5736","20210516052441"
"55","Mực_(in_viết)","2360415","","1780","20221231185332"
"56","Đất_sét_Nhật_Bản","3643200","","5069","20200820181648"
"57","Nhà_hát_opera","815877","","11095","20220318043338"
"58","Hạt_dẻ_(màu)","4432","","716","20230226215415"
"59","Liên_hoan_phim_New_York","3349360","","1203","20160312022414"
"60","Mutō_Yūgi","107509","","20377","20220315011318"
"61","Thếp_vàng","3240151","","2644","20220404053152"
"62","Sói_100%","19401232","","4857","20221023021032"
"63","Ziegfeld_Girl_(phim)","357692","","1833","20200825143801"
"64","Stefan_Danailov","16032413","","3149","20221013112145"
"65","Mê_cung_ký_ức","3696814","","4387","20220513093229"
"66","Đền_thờ_hang_động_Badami","3402924","","4273","20210819120102"
"67","Cốc_uống","15470541","","22036","20230207014514"
"68","Alexandre_Astruc","2327932","","3939","20220728100229"
"69","Tuổi_mới_lớn_(thể_loại)","18302858","","3708","20230129034528"
"70","Hài_độc_thoại","3582160","","3745","20230314022750"
"71","Người_chồng_vĩnh_cửu_(phim)","820759","","1947","20220319190302"
"72","Pan_&_vùng_đất_Neverland","7821873","","4625","20221031232933"
"73","Leatherface","1448464","","10484","20230525133441"
"74","Bảo_tàng_Quốc_gia_Luân_Đôn","3680199","","43151","20220621163959"
"75","Lê_Cung_Bắc","494032","","8910","20230506015111"
"76","Gottfried_Semper","28802","","2357","20211214031842"
"77","The_Anguished_Man","19587602","","2731","20210510033457"
"78","Hệ_tinh_thể","2451296","","9644","20220103133623"
"79","Jimmy_Constable","19810040","","9868","20230619151728"
"80","Bê_tông_tươi","814039","","1638","20230228083910"
"81","Cờ_tam_tài","515032","","8835","20221119055525"
"82","Sanchi","76758","","6354","20230325074727"
"83","Lâu_đài_Frederiksborg","2423098","","6274","20230105072414"
"84","Mùa_hè_lạnh","13479638","","3013","20220415133828"
"85","Bảo_tàng_Thất_bại","19728051","","12355","20230114010712"
"86","Troubadour","1676813","","8516","20230608024412"
"87","YUV","9966","","8336","20220804230109"
"88","Phòng_chiếu_phim_gia_đình","15113567","","1441","20230330055441"
"89","Ảnh_hiển_vi","19359029","","5381","20220518092056"
"90","Trương_Gia_Huy","1166116","","4695","20230420062833"
"91","Câu_lạc_bộ_ảnh_Warszawa","19478826","","2154","20200817023229"
"92","Saturday_Night_Fever_(nhạc_phim)","3660798","","24310","20230301160329"
"93","Hãng_phim_truyền_hình","2411842","","21182","20230715140717"
"94","Băng_qua_sa_mạc_và_núi_đồi","585266","","9000","20211214025921"
"95","Kim_Ngọc","90104","","19076","20230621231146"
"96","Vần_luật_(kiến_trúc)","467375","","4619","20221023143218"
"97","Bảo_tồn_và_phục_hồi_di_sản_văn_hóa","19470076","","5095","20230607070817"
"98","Paul_Rand","94748","","1799","20230526041155"
"99","A_3_Minute_Hug","19615057","","1994","20211218064020"
"100","Nghệ_thuật_đương_đại","19363575","","8120","20230628042600"
"101","Nữ_thần_Tự_do_dẫn_dắt_nhân_dân","330136","","2017","20220120151650"
"102","Danh_đề","3692412","","1873","20220111162256"
"103","William_Sadler_(họa_sĩ)","14858112","","4178","20211214060711"
"104","Hình_hoạt_họa_sống_động","14904515","","1732","20221126184549"
"105","Phơi_sáng","343826","","906","20220411162049"
"106","Xanh_berin","4048","","874","20210520063355"
"107","Abraham_Lincoln:_Thợ_săn_ma_cà_rồng","829942","","13889","20221220220354"
"108","Mộng_hồi_Lộc_Đỉnh_ký","801681","","2668","20221205125316"
"109","Siêu_Nhân_(nhân_vật)","76280","","172911","20230724153611"
