"number","title","pageid","namespace","length","touched"
"1","Manichaean_art","67898339","","17645","20230226164010"
"2","Palazzo_di_San_Clemente","33038973","","1870","20220415152448"
"3","Seth_Boyden_Terrace","67650881","","3419","20230604170626"
"4","Allegorical_sculpture","2026459","","4829","20230208073937"
"5","The_Passing_of_Shah_Jahan","56560662","","11735","20230517052420"
"6","Mud","292211","","14807","20230617155551"
"7","91:an","4306461","","4419","20230504185325"
"8","World_Sensorium","36586999","","15891","20230607030749"
"9","Paperless_trade","49836887","","5899","20210704000837"
"10","Sphinx_of_Agost","20080611","","1408","20220207224926"
"11","Drafting_machine","26262533","","3909","20230216040722"
"12","Timothy_Binkley","33444929","","12742","20230317144349"
"13","Intermedia_Systems_Corporation","55662464","","5183","20230630134116"
"14","Break_Down_(Landy_artwork)","42649919","","3684","20220423101608"
"15","Pentax_DA*_300mm_lens","43795439","","2906","20200405225205"
"16","Balamangalam","6932919","","12651","20230512085033"
"17","Oto_Wakka","71389468","","7133","20230620212351"
"18","Simon_Penny","7141524","","9582","20221106003556"
"19","List_of_historic_properties_in_Jerome,_Arizona","57081388","","25363","20230524204303"
"20","The_Wine_Glass","13699317","","5768","20230426090954"
"21","El_Rio_de_Luz","34024176","","4971","20230430130459"
"22","List_of_photographic_films","1093487","","154831","20230622181943"
"23","Egyptian_Queen","70000821","","11220","20230702141521"
"24","The_Lost_Soul","70427811","","11255","20221221044321"
"25","Pyotr_Sokolov_(portraitist)","16756332","","7003","20221005205420"
"26","Artist_Profile","26561586","","3600","20230520053204"
"27","Icey","58563574","","5200","20230117010556"
"28","Art_Monthly","20486509","","4111","20220120225710"
"29","Octavian_Smigelschi","41765281","","38257","20230506081153"
"30","Art_of_the_Middle_Paleolithic","22812406","","18481","20230622235133"
"31","Master_of_the_André_Virgin","51970558","","1386","20210924122746"
"32","Open_mic","1441840","","60869","20230325213537"
"33","AndrewAndrew","44477159","","3867","20220708131655"
"34","Doris_Duke","1920704","","54349","20230630030732"
"35","George_Besson","23911031","","851","20230520034042"
"36","El_Gran_Espectaculo_(The_Nile)","65460151","","7388","20230519190259"
"37","Twyfelfontein","12030689","","25266","20220310063046"
"38","An_Experiment_on_a_Bird_in_the_Air_Pump","8870404","","37809","20230623021139"
