"number","title","pageid","namespace","length","touched"
"1","Non-belligerent","638594","","4562","20230425020725"
"2","Defence_diplomacy","31083241","","5986","20210306004055"
"3","Global_ceasefire","64703760","","20724","20220814154048"
"4","Duty_to_escape","62913989","","9196","20230104061548"
"5","Trinity_(video_game)","999864","","10325","20230623220327"
"6","Bargaining_model_of_war","42302714","","23441","20230129052002"
"7","Combat_results_table","2692850","","3422","20160101030934"
"8","Siviilipalvelus","32093311","","6013","20230625181858"
"9","Point_d'appui","19649701","","1163","20230601065113"
"10","British–Polish–Ukrainian_trilateral_pact","69955410","","23678","20230328110035"
"11","Latin_Bloc_(proposed_alliance)","39474796","","3450","20230413153222"
"12","List_of_wars_of_succession","70495339","","75022","20230515054816"
"13","Manuela_León","70693041","","3222","20221007133125"
"14","Manning_the_rail","188466","","3173","20230327132518"
"15","United_States_Department_of_Defense_China_Task_Force","66708724","","8814","20230701201723"
"16","Strike_off_Strength","46797270","","66","20150525195926"
"17","United_Nations_Peacebuilding_Fund","28734464","","4440","20210216212134"
"18","Truth_and_Reconciliation_Commission_(Norway)","65621875","","2631","20221108214622"
"19","Ottoman–Venetian_War_(1570–1573)","20555059","","30086","20230619020219"
"20","Morocco:_Love_in_Times_of_War","56689062","","13748","20230406201417"
"21","Department_of_Defense_Directive_2310","6885346","","2395","20220510060331"
"22","Commemoration_Ode","67259281","","11098","20230211004915"
"23","Augusto_Ferrer-Dalmau","38999766","","50345","20230523223716"
"24","Istijarah","8912321","","1757","20220318164902"
"25","Japan–Korea_disputes","296498","","82899","20230614151145"
"26","Pax_Alexii_Callergi","64529256","","274","20200712123419"
"27","Gummed_film","60458133","","1154","20230428005128"
"28","Zuginsfeld","39600551","","4299","20230317150119"
"29","Direct_voice_input","8820064","","11100","20230503183759"
"30","Fasel_Gang","67530990","","10039","20211120214141"
"31","United_States_presidential_visits_to_the_Middle_East","49578930","","24092","20230311034543"
"32","Convention_of_Saint_Petersburg_(1747)","21482247","","1109","20210604201839"
"33","The_Women's_Peace_Crusade","50978067","","9401","20230514233951"
"34","Total_War_Saga:_Troy","64916891","","15413","20230603154549"
"35","Military_Spouses_Residency_Relief_Act","26154984","","11692","20230428052550"
"36","World_War_III","65307","","93591","20230704222000"
"37","Martial_race","2320944","","30206","20230626092551"
"38","Albert_K._Dawson","28867868","","10106","20230630105417"
"39","Launch_on_warning","3726789","","10236","20230219044516"
"40","Landing_area","43788681","","2377","20230607175052"
"41","Treaty_of_Peace_and_Friendship_(1904)","23131109","","26485","20220720200832"
"42","Byzantine–Venetian_treaty_of_1268","58808852","","27855","20230421131551"
"43","Military_personnel","6826152","","19697","20230704042315"
"44","Peace_through_strength","199140","","23051","20230604181048"
"45","Peace_walk","1102553","","21680","20230220211349"
"46","Conscientious_objection_in_South_Korea","60455116","","13744","20220325160111"
