username,language
User:Olivier LPB,"['fr', 'en-2']"
User:Gamesmasterg9,"['en', 'hi-4', 'bn-3', 'mr-1']"
User:Dvermeirre,"['fr', 'en-5', 'de-1']"
User:Jklamo,"['en-3', 'cs', 'sk', 'fr-1']"
User:Calliopejen1,"['en', 'es-3', 'fr-1']"
User:Jpbrenna,"['en', 'el-2', 'la-2', 'es-2', 'ar-1']"
User:WarKosign,"['en-3', 'he-4', 'ru']"
User:Appaches,"['fr', 'en-3']"
User:IYY,"['en-N', 'he-3', 'ru-3']"
User:AlejandroGallego,"['es', 'en-4', 'de-2', 'fr-2', 'pt-1']"
User:Fredericknoronha,"['en-4', 'gom-2', 'hi-2', 'mr-1', 'pt-1', 'fr-0', 'de-0']"
User:Keilana,"['en', 'fr-4', 'ko-1', 'ar-2', 'es-3']"
User:Powermelon,"['lt', 'en-3']"
User:Antimuonium,"['fr', 'en-3', 'es-1']"
User:Kurousagi,"['ko', 'en-4']"
User:Packare,['en-3']
User:Ziko,"['de', 'eo-4', 'nl-3', 'en-3', 'fr-1', 'la-1']"
User:Pensées de Pascal,"['fr', 'en-4', 'nl-3', 'de-2', 'es-1', 'sk-1', 'la-1']"
User:Mrtony77,"['en-N', 'es-N']"
User:Anamdas,"['hi', 'pa', 'en-3', 'pa-1', 'sa-1']"
User:ProtoplasmaKid,"['es', 'en-3', 'pt-2']"
User:Gael13011,['fr']
User:CoroneldelNorte,"['es-N', 'en-3', 'fr-1']"
User:Дмитрий Кошелев,"['ru-N', 'en-2', 'fr-1', 'la-1']"
User:Wfplb,"['en-2', 'fr']"
User:Roriromrack,"['ko', 'de-4', 'en-4', 'fr-2', 'es-2', 'zh-2', 'ja-1', 'pt-1']"
User:AhmedPS,"['ar', 'en-3', 'de-1']"
User:Oleg Bor,['ru']
User:Thue,"['da', 'en-3', 'de-1', 'no-1', 'sv-1']"
User:Zeorymer,"['en-N', 'pt-2']"
User:Kges1901,"['en', 'ru-1']"
User:永続繁栄,['ja']
User:Banfield,"['es', 'en-3']"
User:Jkadavoor,"['ml', 'en-2']"
User:Aeroid,"['de', 'en-3', 'nds-1']"
User:Miya,"['ja', 'en-2']"
User:Kozam,"['fr', 'en-3']"
User:Liridon,"['sq', 'en-4', 'mk-3']"
User:Sorenhk,['da']
User:Greenman,"['en', 'af-3', 'nl-2', 'fr-1', 'es-1', 'xh-1']"
User:Guy of india,['ta']
User:Pcgomes,"['pt', 'en-4', 'es-3', 'sv-2']"
User:MShefa,"['fa-2', 'es-4']"
User:Koavf,"['en', 'es-2', 'de-1', 'pt-1']"
User:Kronhjorten,"['en', 'sv-4', 'es-3', 'fr-2', 'de-1']"
User:AragonChristopherR17Z,"['en-5', 'es-3']"
User:OtterAM,['crh-0']
User:Seagull123,"['en', 'fr-2', 'de-1']"
User:Fundriver,"['en-3', 'de-4', 'als', 'fr-1']"
User:Marko Sarajevo,"['sr', 'en-5', 'es-3', 'mk-2', 'ru-2']"
User:TASAIRES,['es']
User:AMPERIO,"['es', 'gl', 'en-4', 'fr-3']"
User:Mcrass,"['de-5', 'en-2']"
User:Jean Eti,"['en-3', 'fr-3', 'la-1']"
User:Dig deeper,"['en-N', 'en-5', 'fr-2']"
User:Yasamin77,['en-4']
User:Л.П. Джепко,"['ru', 'en-4']"
User:AndrewTheLott,"['en-N', 'nl-4', 'fr-3']"
User:Diego Moya,"['es', 'en-3']"
User:Abbedabb,['sv']
User:I JethroBT,"['en', 'ja-2']"
User:Fjmustak,"['en', 'ar', 'fr-2', 'es-1', 'he-1']"
User:Timpo,"['en-N', 'es-1']"
User:LeFaune,"['fr', 'en-4', 'de-2', 'ca-1', 'es-0']"
User:Natalie.Desautels,"['fr-N', 'en-N', 'es-3', 'de-1']"
User:Lifeinfluxus,"['en-N', 'ja-N']"
User:丘明利,"['zh-5', 'ms-4', 'id-3', 'en-3', 'eo-2', 'ja-1', 'ta-1', 'th-1', 'af-1', 'ar-1', 'hak-1', 'haw-1', 'en-ms']"
User:Guillermo2149,"['es-N', 'gn-N', 'en-5', 'pt-4', 'it-2', 'zh-1']"
User:Gamaliel,"['en', 'es-2']"
User:XPanettaa,"['nl', 'en', 'de-1', 'fr-1']"
User:Fujiiy,['es']
User:Kiteinthewind,"['en', 'zh', 'zh-yue', 'es-3', 'fr-2']"
User:Seav,"['en', 'tl']"
User:Froggywam,['en-N']
User:Gerardo Noriega,"['es', 'en-3', 'fr-2', 'it-2']"
User:Pmaccabe,['en']
User:MartinPoulter,['en']
User:Randeerjayasekara,['si']
User:0xF8E8,['en-N']
User:FactualCollector7d1,"['en', 'fr-1']"
User:Davidbuddy9,['en-N']
User:FuhrstSgt,['sr']
User:Zak-mieleur,"['ar', 'ary', 'arz-2', 'en-3', 'fr', 'es-1']"
User:Sjomadhr,"['fi', 'sv', 'en-4', 'de-2']"
User:MartinZ,['en-4']
User:Omert33,"['en', 'he', 'fr-3', 'es-1', 'it-1']"
User:IBayern,"['zh', 'en-3', 'zh-classical-2', 'sco-2', 'de-1', 'ja-1', 'es-0', 'fr-0', 'ko-0', 'ru-0', 'pl-0']"
User:Simartampua,"['id', 'en-2', 'ms-2']"
User:Phokhamvone,"['fr', 'th-3', 'en-2', 'de-1']"
User:The Stray Dog,"['fa-N', 'mzn-4', 'tg-4', 'en-4', 'glk-4', 'ku-1', 'he-3', 'arz-1']"
User:Fluffernutter,"['es-2', 'it-1']"
User:Miyika,"['ar-2', 'ja-3']"
User:ツバル,"['ja', 'en-1']"
User:Kashmiri,['en-4']
User:Zsoozsy,"['hu', 'en-4', 'he-3', 'fr-3']"
User:Alexgrim,"['fr', 'en-4', 'es-2', 'ht-3']"
User:TadejM,"['sl', 'en-4', 'fr-3', 'de-3', 'it-1']"
User:Rlandmann,"['en-N', 'it-1', 'fr-1']"
User:Shyamal,['en-5']
User:Nsaa,"['no', 'en-2', 'da-2', 'sv-1', 'de-1']"
User:Aboluay,"['en-3', 'ar-2']"
User:Greyshark09,"['en-4', 'ar-3']"
User:Sturm,"['pt-N', 'en-2', 'it-1', 'es-1']"
User:Mr. Stradivarius,"['en', 'ja-4']"
User:Rickjpelleg,"['en', 'he']"
User:TimeForLunch,"['en', 'it-3']"
User:Popo le Chien,"['fr', 'en-4', 'es-3', 'de-2', 'zh-1', 'it-1']"
User:Iranianson,"['en-3', 'fa', 'az-2', 'fr-1', 'ar-1']"
User:Champion,"['zh', 'zh-2', 'en']"
User:Keizers,"['en-5', 'nl-4', 'es-4', 'de-3', 'fr-3', 'pt-2', 'ru-2', 'it-2', 'el-1', 'ro-1']"
User:Azael Hernández,"['es', 'en-2']"
User:Frank R 1981,['en-4']
User:AlexTref871,['en-3|']
User:Mazzz01,"['en', 'fr-1']"
User:D. Benjamin Miller,"['en-N', 'fr-3', 'la-2']"
User:United Union,"['en-5', 'de-5', 'hr-5']"
User:Mz7,"['en', 'de-2']"
User:Renamed user awfwvowjvwrvnwio,"['pt', 'en-5']"
User:Rystheguy,"['en', 'fr-2', 'ko-1']"
User:Loiseaulybre,"['fr', 'en-3']"
User:Info2Learn,"['en', 'es-2']"
User:Ibrahim.ID,"['ar', 'en-3', 'fr-1']"
User:OriginalOldMan,"['en-N', 'en-US', 'fr-4', 'ru-1']"
User:FæɹHaad,"['fa', 'fa-5', 'en-2', 'ar-2']"
User:Ww2censor,"['en-N', 'en-Ire', 'de-1', 'fr-1']"
User:Sasuke Sarutobi,"['en', 'de-2', 'fr-1', 'it-1']"
User:Sekicho,"['en', 'ja-3', 'es-1', 'zh-1']"
User:Ce Ele 415,"['es', 'ca', 'en-3']"
User:Naval Scene,"['id', 'min', 'en-4', 'ms-3', 'jv-3', 'su-2', 'ace-1']"
User:Uksharma3,['en-3']
User:Lillingen,"['en-3', 'no', 'nn-3', 'da-3', 'sv-2', 'de-1']"
User:Tylusine,"['en', 'en-5']"
User:Effeietsanders,"['nl', 'en-3']"
User:YanikB,"['fr', 'en-3', 'es-2', 'de-1']"
User:Gdominik100,"['pl', 'ru-1', 'en-3', 'es-1', 'eo-0', 'ko-0', 'mn-0']"
User:Darylgolden,"['en', 'zh-2']"
User:TheRichic,['es-N']
User:Nicolas Perrault III,"['fr', 'en-4', 'de-3', 'es-3', 'no-2', 'it-1', 'ru-1']"
User:Brackenheim,"['de', 'en-1', 'la-1']"
User:Marcetw,"['es-3', 'en-2']"
User:أنور,"['ar-5', 'en-3']"
User:Sjö,"['sv', 'en-4', 'de-1', 'da-2', 'no-2']"
User:Che12Guevara,"['bn', 'en-4', 'hi-1']"
User:Heliosxeros,"['en', 'zh']"
User:Thureinminnoo,"['en', 'my', 'ja']"
User:Andsam,"['fi', 'en-4', 'sv-3', 'de-1']"
User:Mr.Liam.Darcy,"['en', 'de-3', 'fr-1']"
User:Ranjithsiji,['ml']
User:Starnutoditopo,['it']
User:Gibbja,"['en', 'fr-2']"
User:YuriGagrin12,"['en-N', 'eo-2', 'it-3']"
User:Tomer T,"['he', 'en-4']"
User:PaterMcFly,"['de', 'en-4', 'fr-2']"
User:Braindot4,"['en-5', 'ar', 'fr-2']"
User:Gnoeee,"['ml', 'en-2']"
User:Veillg1,['fr-N']
User:12afser12,['ta']
User:Nick Rokk 96,"['el', 'en-3']"
User:Hylblog,"['en-2', 'zh-4', 'ja-0']"
User:Kaliforniyka,"['en', 'bg-3', 'fr-4', 'ru-3']"
User:Gorpik,['es']
User:Bdonan,"['en', 'de-2']"
User:Superkid761,['en']
User:Debashish,"['bn', 'hi-3', 'en-3']"
User:Jose Mathew C,"['ml', 'ta-1']"
User:Smihael,"['sl', 'en-3', 'de-3', 'ru-3']"
User:T8612,"['fr-N', 'en-4']"
User:Hickland,"['en', 'fr-3']"
User:Flycatchr,"['en', 'fr', 'ar-2', 'es-1']"
User:Gunkarta,"['id', 'su', 'en-3', 'jv-2', 'fr-1', 'ja-1']"
User:MatthewS.,"['arz-N', 'en-N', 'ar-5', 'fr-2', 'de-1', 'he-1', 'eo-1', 'mt-1']"
User:Mcampany,"['en-N', 'ja-4', 'zh-1']"
User:Adam37,['en']
User:Shadess,"['fi-N', 'en-4']"
User:Nehme1499,"['it-N', 'en-NL', 'es-1', 'ar-1']"
User:Fallbackintoreality,['sq']
User:Ergo Sum,"['en', 'la-3', 'es-2', 'it-1']"
User:Starblind,"['en', 'de-3', 'es-1', 'fr-1']"
User:Franz710,"['pam', 'tl']"
User:Saung Tadashi,"['pt', 'en-3', 'ja-1']"
User:Sreejithk2000,"['ml', 'en-2']"
User:Dr-Taher,"['ar', 'en-4']"
User:Mardetanha,"['fa', 'az', 'en-3', 'tr-2', 'ar-1']"
User:TobbiM,['en-5']
User:PoliceSheep99,['es-2']
User:Amit91803,"['he', 'en-4', 'fr-1']"
User:Juxlos,"['id', 'en-5']"
User:GregZak,"['ru', 'en-3']"
User:Firos ak,"['ml', 'en-2']"
User:TJMSmith,"['en-N', 'es-3']"
User:Yasunorihayashi,"['ja', 'en-4', 'de-1']"
User:Pep-k,"['it', 'en-3', 'fr-2', 'es-1', 'pl-1']"
User:Neworsy,"['es', 'de-4', 'fr-3', 'en-3']"
User:Discoglasses,"['en-N', 'fr-3']"
User:Mattwillmarron,['fr-2']
User:Swarabakti,"['en-3', 'jv-2', 'su-1', 'es-1']"
User:Vargmali,"['sq', 'de-2', 'en-3']"
User:Ата,"['uk', 'en-3']"
User:Sadenar40000,['fr']
User:Tris T7,['th']
User:Babelia,"['es', 'en-2']"
User:ჯეო,"['ka', 'en-3', 'ru-1', 'fr-1']"
User:Asimtanveer,['ur']
User:UserNumber,"['bn', 'en-5', 'as-4', 'ur-3', 'hi-3', 'ar-2', 'fa-2', 'lo-1']"
User:Onur,"['tr', 'en-4']"
User:Sophiajoanne,"['en-3', 'zh-3', 'ko-1']"
User:BokicaK,"['en-3', 'sr', 'ru-1', 'hu-1']"
